distance_bin,distance_start_km,distance_end_km,distance_mean_km,n_pairs,spatial_autocorrelation,semivariance
1,0.0,901.9937213825546,515.0510661829161,1083,0.9209024169891459,447.5584769273885
2,901.9937213825546,1803.987442765109,1201.208708980767,1694,0.8237868813833271,1116.998027755814
3,1803.987442765109,2705.9811641476635,2115.4921597099315,1526,0.6634955606133933,2121.6923580671464
4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.484713894245421,3310.5848465005706
5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.26582324664376167,4611.74842195836
6,4509.968606912773,5411.962328295327,4867.039162655121,932,0.08026587090340159,5638.336826509121
7,5411.962328295327,6313.956049677882,5784.053376310686,762,-0.030461412557008235,6440.4804904702705
8,6313.956049677882,7215.949771060436,6704.564317751115,603,-0.06404127525625215,6715.953870552747
9,7215.949771060436,8117.943492442991,7629.207724215056,459,-0.10770873182018052,6763.270091692507
10,8117.943492442991,9019.937213825546,8566.468055533569,320,-0.13746519006813027,6888.39937864909
11,9019.937213825546,9921.9309352081,9507.771715950392,188,-0.1769957095635017,6666.059268056336
12,9921.9309352081,10823.92466741458,10418.13390169803,69,-0.16856102926166525,5756.8969347326465
