series,lag_hours,n_pairs,autocorrelation
raw_hourly_mean,0,59,1.0
raw_hourly_mean,1,44,0.08975009243602275
raw_hourly_mean,2,41,-0.08609350386863054
raw_hourly_mean,3,40,-0.09604105469069953
raw_hourly_mean,4,36,0.13628896525674364
raw_hourly_mean,5,39,0.15003484047469323
raw_hourly_mean,6,36,-0.11373001169770028
raw_hourly_mean,7,33,0.09010078161062468
raw_hourly_mean,8,37,-0.0771443051815157
raw_hourly_mean,9,30,-0.17608253425652523
raw_hourly_mean,10,30,-0.057043323319940886
raw_hourly_mean,11,30,-0.16899195066814016
raw_hourly_mean,12,27,0.038594404895254134
raw_hourly_mean,13,29,-0.19454118198324427
raw_hourly_mean,14,25,0.12915996187001166
raw_hourly_mean,15,25,-0.2842280768826837
raw_hourly_mean,16,31,-0.18828232092075745
raw_hourly_mean,17,28,0.09239257800445086
raw_hourly_mean,18,30,-0.11730930824910116
raw_hourly_mean,19,28,-0.0646001293293805
raw_hourly_mean,20,25,0.0941712309909154
raw_hourly_mean,21,28,0.08491418476818668
raw_hourly_mean,22,25,-0.15702327050674264
raw_hourly_mean,23,26,-0.056483986860010604
raw_hourly_mean,24,28,0.34531616427083067
raw_hourly_mean,25,22,0.291620339920766
raw_hourly_mean,26,22,0.2839474726866615
raw_hourly_mean,27,21,-0.31334273639023563
raw_hourly_mean,28,21,-0.025009970120706482
raw_hourly_mean,29,24,0.2070767239470626
raw_hourly_mean,30,17,-0.1619763615967117
raw_hourly_mean,31,17,0.20638669838973922
raw_hourly_mean,32,16,-0.23218060210259392
raw_hourly_mean,33,16,0.02843436161729157
raw_hourly_mean,34,19,0.06918915353336885
raw_hourly_mean,35,17,0.1347620116955117
raw_hourly_mean,36,17,0.08018562482857094
raw_hourly_mean,37,19,0.022696890692943002
raw_hourly_mean,38,15,-0.20747283962435437
raw_hourly_mean,39,17,0.08588050482425354
raw_hourly_mean,40,17,-0.05362241581691975
raw_hourly_mean,41,18,-0.2888594044136718
raw_hourly_mean,42,20,-0.3439528924077773
raw_hourly_mean,43,16,0.23894165227042585
raw_hourly_mean,44,19,0.1289516234681263
raw_hourly_mean,45,21,-0.00673107268407423
raw_hourly_mean,46,18,-0.19763686682929782
raw_hourly_mean,47,19,-0.2697136425406077
raw_hourly_mean,48,17,0.019263596705240124
gridded_hourly_mean,0,59,1.0
gridded_hourly_mean,1,44,0.09248615371802965
gridded_hourly_mean,2,41,-0.08924346069098989
gridded_hourly_mean,3,40,-0.0915471350792063
gridded_hourly_mean,4,36,0.13131849968423082
gridded_hourly_mean,5,39,0.1383078126149712
gridded_hourly_mean,6,36,-0.10430621642897976
gridded_hourly_mean,7,33,0.09226619586216152
gridded_hourly_mean,8,37,-0.07613579406034458
gridded_hourly_mean,9,30,-0.19340583300965072
gridded_hourly_mean,10,30,-0.048591970824827926
gridded_hourly_mean,11,30,-0.1292566399021599
gridded_hourly_mean,12,27,0.05473408618933243
gridded_hourly_mean,13,29,-0.1790571326001811
gridded_hourly_mean,14,25,0.1191168774136944
gridded_hourly_mean,15,25,-0.28647559546009205
gridded_hourly_mean,16,31,-0.16550217585263188
gridded_hourly_mean,17,28,0.08988532863262608
gridded_hourly_mean,18,30,-0.11138343929755902
gridded_hourly_mean,19,28,-0.07213231127195001
gridded_hourly_mean,20,25,0.09391179983665744
gridded_hourly_mean,21,28,0.0924903652629931
gridded_hourly_mean,22,25,-0.15093404659111465
gridded_hourly_mean,23,26,-0.0504886377854364
gridded_hourly_mean,24,28,0.3473247582322016
gridded_hourly_mean,25,22,0.291620339920766
gridded_hourly_mean,26,22,0.2780568324892922
gridded_hourly_mean,27,21,-0.30794847396442115
gridded_hourly_mean,28,21,-0.01326781046425246
gridded_hourly_mean,29,24,0.22372328217112075
gridded_hourly_mean,30,17,-0.1731252464939291
gridded_hourly_mean,31,17,0.20822700009193518
gridded_hourly_mean,32,16,-0.22792597204162604
gridded_hourly_mean,33,16,0.009611335434554247
gridded_hourly_mean,34,19,0.06143937019142472
gridded_hourly_mean,35,17,0.12228693864007645
gridded_hourly_mean,36,17,0.11968867859939415
gridded_hourly_mean,37,19,0.022696890692942985
gridded_hourly_mean,38,15,-0.22294296585110612
gridded_hourly_mean,39,17,0.03842063693215468
gridded_hourly_mean,40,17,-0.055789290032060554
gridded_hourly_mean,41,18,-0.2930391936605582
gridded_hourly_mean,42,20,-0.32585478652455657
gridded_hourly_mean,43,16,0.23211032266713968
gridded_hourly_mean,44,19,0.15171246067295202
gridded_hourly_mean,45,21,0.03621555154653756
gridded_hourly_mean,46,18,-0.20971134644312
gridded_hourly_mean,47,19,-0.26415842165675324
gridded_hourly_mean,48,17,0.013819802139201186
