lag,n_pairs,autocorrelation,significance_band,granularity,lag_unit
0,563,1.0,0.08260415138437355,daily,days
1,548,0.32367410073271285,0.08372705045624257,daily,days
2,540,0.2902200734729132,0.0843449706507393,daily,days
3,536,0.36001342137783693,0.08465910570697328,daily,days
4,533,0.36391876415907415,0.08489702403754515,daily,days
5,530,0.3238710462770696,0.0851369595815616,daily,days
6,528,0.2907909793302222,0.08529805141829194,daily,days
7,528,0.32189640795322294,0.08529805141829194,daily,days
8,526,0.27744005759497753,0.08546006115860168,daily,days
9,526,0.2582602232795084,0.08546006115860168,daily,days
10,524,0.2854264523064107,0.08562299755278172,daily,days
11,520,0.2495208069455014,0.08595168589208886,daily,days
12,518,0.279225379990961,0.08611745593209437,daily,days
13,520,0.23910187892214674,0.08595168589208886,daily,days
14,520,0.24013373329083973,0.08595168589208886,daily,days
15,519,0.22880079527756317,0.08603445113600483,daily,days
16,517,0.29290177998089995,0.08620070143817432,daily,days
17,516,0.2772285964594621,0.08628418881991114,daily,days
18,514,0.2661083111755191,0.08645189391268125,daily,days
19,512,0.21108973881268325,0.08662058069535207,daily,days
20,512,0.24382936692715282,0.08662058069535207,daily,days
21,512,0.2324733013240214,0.08662058069535207,daily,days
22,511,0.19384132789220573,0.08670529521994653,daily,days
23,509,0.22557495310465045,0.0868754726068755,daily,days
24,508,0.23847790149229758,0.08696093792277916,daily,days
25,506,0.21839844227828226,0.08713262799697986,daily,days
26,505,0.28932690411444395,0.08721885526003702,daily,days
27,505,0.19617160455137778,0.08721885526003702,daily,days
28,505,0.24005649748033617,0.08721885526003702,daily,days
29,503,0.2387202078826271,0.08739208056527112,daily,days
30,502,0.21066846152091806,0.08747908116478055,daily,days
31,501,0.18867981490328783,0.08756634211531897,daily,days
32,501,0.17504697303211553,0.08756634211531897,daily,days
33,501,0.2457012197188786,0.08756634211531897,daily,days
34,501,0.17959218361435259,0.08756634211531897,daily,days
35,501,0.1641755418737863,0.08756634211531897,daily,days
36,502,0.1934853650242261,0.08747908116478055,daily,days
37,502,0.17314644238738425,0.08747908116478055,daily,days
38,501,0.15726594007524264,0.08756634211531897,daily,days
39,499,0.1983275722183199,0.08774165028302566,daily,days
40,498,0.17921161455611223,0.08782970012985128,daily,days
41,498,0.13122074048803523,0.08782970012985128,daily,days
42,497,0.14767202675208507,0.08791801558718629,daily,days
43,496,0.17391770923039065,0.0880065979931197,daily,days
44,496,0.156708641801646,0.0880065979931197,daily,days
45,496,0.15645171626385354,0.0880065979931197,daily,days
46,495,0.14748878751691444,0.08809544869519696,daily,days
47,494,0.1857962580949221,0.08818456905050612,daily,days
48,493,0.0987208295371654,0.08827396042576481,daily,days
49,493,0.16171045770534742,0.08827396042576481,daily,days
50,492,0.09249996590960055,0.08836362419740836,daily,days
51,490,0.15841767612633567,0.08854377448471462,daily,days
52,490,0.1296304208171722,0.08854377448471462,daily,days
53,489,0.03196011653231949,0.08863426380264237,daily,days
54,488,0.1535768028810404,0.08872503112166816,daily,days
55,487,0.10316773205449783,0.08881607786817097,daily,days
56,486,0.09680697190763164,0.08890740547879683,daily,days
57,486,0.11601268793503396,0.08890740547879683,daily,days
58,486,0.0436681430717087,0.08890740547879683,daily,days
59,487,0.04212861001518621,0.08881607786817097,daily,days
60,487,0.006027137841101095,0.08881607786817097,daily,days
61,488,0.056516893041184936,0.08872503112166816,daily,days
62,489,0.07587463925900484,0.08863426380264237,daily,days
63,487,0.08045087177850377,0.08881607786817097,daily,days
64,485,0.033166486655326406,0.08899901540055397,daily,days
65,484,0.023493864479083297,0.0890909090909091,daily,days
66,484,0.04049748788311467,0.0890909090909091,daily,days
67,484,0.039970267110691786,0.0890909090909091,daily,days
68,483,0.04034346796671578,0.08918308801788485,daily,days
69,483,0.015206500726027142,0.08918308801788485,daily,days
70,482,0.01250887669966931,0.08927555366015828,daily,days
71,481,0.029748271025812057,0.08936830750716042,daily,days
72,479,0.07210514681675519,0.08955468582745095,daily,days
73,477,0.006584660085195662,0.0897422351131435,daily,days
74,476,-0.024633592660783427,0.08983645270876471,daily,days
75,475,-0.00017960398044635994,0.0899309676772602,daily,days
76,474,-0.035277331581370495,0.09002578158622657,daily,days
77,473,-0.07972273421713698,0.09012089601485375,daily,days
78,472,-0.01925562236100556,0.09021631255403569,daily,days
79,471,-0.06854611810430149,0.09031203280648191,daily,days
80,470,-0.039143127339713646,0.09040805838683073,daily,days
81,470,-0.045257874396480095,0.09040805838683073,daily,days
82,469,-0.06581393934865945,0.09050439092176359,daily,days
83,468,-0.03627419813630055,0.09060103205012075,daily,days
84,467,-0.012266233344004148,0.09069798342301852,daily,days
85,466,-0.023368828746452193,0.09079524670396757,daily,days
86,465,-0.07141065856441729,0.09089282356899299,daily,days
87,463,-0.04354631282826963,0.09108892481867392,daily,days
88,462,0.00017308131799715734,0.09118745261905015,daily,days
89,461,-0.02117548784648274,0.09128630083519397,daily,days
90,460,-0.03693282425972047,0.09138547120755075,daily,days
