lag,n_pairs,autocorrelation,significance_band,granularity,lag_unit
0,20,1.0,0.43826932358995874,monthly,months
1,19,0.5081587748314917,0.449654838386301,monthly,months
2,18,0.05459401610242568,0.4619764303752111,monthly,months
3,17,-0.22359438619051128,0.4753698250712126,monthly,months
4,16,-0.43840380965532794,0.49,monthly,months
5,15,-0.35918343473275816,0.5060698239044358,monthly,months
6,14,-0.43859752540994257,0.5238320341483518,monthly,months
7,13,-0.3480094306531677,0.5436061923007246,monthly,months
8,12,-0.26162297032406306,0.5658032638058332,monthly,months
9,11,-0.4493617695341583,0.5909622353724167,monthly,months
10,10,-0.10863942019657213,0.6198064213930023,monthly,months
11,9,0.4480808199384786,0.6533333333333333,monthly,months
12,8,0.700703716083985,0.6929646455628166,monthly,months
13,7,0.741364582496394,0.7408103670980853,monthly,months
14,6,0.2811685381453753,0.8001666493091716,monthly,months
