lag,n_pairs,autocorrelation,significance_band,granularity,lag_unit
0,86,1.0,0.2113522354787393,weekly,weeks
1,85,0.722296520920465,0.21259184866228306,weekly,weeks
2,84,0.5850313651516937,0.21385353243127253,weekly,weeks
3,83,0.557326629223971,0.21513794957979307,weekly,weeks
4,82,0.5343619727880446,0.2164457911066992,weekly,weeks
5,81,0.42765337700394135,0.21777777777777776,weekly,weeks
6,80,0.3203257248010063,0.21913466179497937,weekly,weeks
7,79,0.21248622020889515,0.2205172285815007,weekly,weeks
8,78,0.12846454704991,0.22192629869234073,weekly,weeks
9,77,0.11755482600248086,0.22336272986089037,weekly,weeks
10,76,0.049163619305263744,0.2248274191931505,weekly,weeks
11,75,-0.03754476889734834,0.22632130552233326,weekly,weeks
12,74,-0.10218422862958403,0.2278453719378858,weekly,weeks
13,73,-0.15292773990332584,0.2294006485044159,weekly,weeks
14,72,-0.20781051235491751,0.23098821518760554,weekly,weeks
15,71,-0.24513622437478558,0.23260920500599525,weekly,weeks
16,70,-0.31746646708519294,0.23426480742954114,weekly,weeks
17,69,-0.40617143308783865,0.23595627204810762,weekly,weeks
18,68,-0.3994115544181803,0.2376849125356063,weekly,weeks
19,67,-0.4074826218073217,0.23945211093835822,weekly,weeks
20,66,-0.33814742688677607,0.24125932231949213,weekly,weeks
21,65,-0.37774994775854787,0.24310807979484858,weekly,weeks
22,64,-0.33296283323315073,0.245,weekly,weeks
23,63,-0.41718126998055016,0.24693678903269511,weekly,weeks
24,62,-0.41977104381645225,0.24892024892037337,weekly,weeks
25,61,-0.4494462403705529,0.25095228466847613,weekly,weeks
26,60,-0.43237512225784486,0.2530349119522179,weekly,weeks
27,59,-0.4147032234285502,0.2551702655224148,weekly,weeks
28,58,-0.41007943077007614,0.2573606084050562,weekly,weeks
29,57,-0.3598092060032798,0.2596083419847486,weekly,weeks
30,56,-0.39878554369120345,0.2619160170741759,weekly,weeks
31,55,-0.3552701707796509,0.2642863460855909,weekly,weeks
32,54,-0.25796537440425815,0.2667222164363905,weekly,weeks
33,53,-0.21907281517592084,0.2692267053394305,weekly,weeks
34,52,-0.32154054983756686,0.2718030961503623,weekly,weeks
35,51,-0.27010344432362005,0.2744548964694899,weekly,weeks
36,50,-0.2313900965775829,0.2771858582251266,weekly,weeks
37,49,-0.2695131264745062,0.27999999999999997,weekly,weeks
38,48,-0.3808994573788479,0.2829016319029166,weekly,weeks
39,47,-0.4540881656727431,0.28589538333587333,weekly,weeks
40,46,-0.2673269748128545,0.28898623406359836,weekly,weeks
41,45,-0.17137857920760124,0.2921795490599725,weekly,weeks
42,44,-0.1261086812896135,0.2954811176862083,weekly,weeks
43,43,-0.14648083267146267,0.29889719785190516,weekly,weeks
44,42,0.029398908162295376,0.3024345659257001,weekly,weeks
45,41,0.10752265230717219,0.3061005733016679,weekly,weeks
46,40,0.2106034758618331,0.3099032106965012,weekly,weeks
47,39,0.32663854919784413,0.31385118145797075,weekly,weeks
48,38,0.37910904156625985,0.3179539854162946,weekly,weeks
49,37,0.4137873054479855,0.3222220151185003,weekly,weeks
50,36,0.4705934002687676,0.32666666666666666,weekly,weeks
51,35,0.5721219358205687,0.3313004678535785,weekly,weeks
52,34,0.5851269766215166,0.3361372268793173,weekly,weeks
