period_start,n_observations,mean_radiance,mean_residual,median_residual,std_residual
2020-01-01,263,153.68368355058448,-0.4223627335638879,-5.7970447021153575,70.09706801331504
2020-01-02,301,135.84461117361076,-18.246668913201823,-9.70532707984026,57.97806745312905
2020-01-03,224,143.8150332042149,-10.258502937543938,-1.844464139812871,51.28275673778955
2020-01-04,331,155.25491325631964,1.196073133353915,-0.524818288967424,54.841013062494994
2020-01-05,360,152.7973070187039,-1.245587371292852,0.8050433567101578,53.96337988924431
2020-01-06,308,152.50016021728516,-1.527601054987266,0.4966648043394457,57.32269033536309
2020-01-07,270,155.54081399423103,1.531499671963959,-1.1269877740141254,54.65037037788608
2020-01-08,167,164.64671630859377,10.656776083555593,8.042134197509881,50.598406606759404
2020-01-09,234,154.83235584487264,0.8540155897383271,2.8238752856637603,55.81072000595308
2020-01-10,235,152.8834563170088,-1.0795996304865145,-1.723659020139138,56.09922165168856
2020-01-11,312,141.75398759108322,-12.191682617091997,-8.248721547296725,51.51006195138149
2020-01-12,74,147.95071992616397,-5.9856947066084905,-9.869251393605538,63.120151863794476
2020-01-13,0,,,,
2020-01-14,350,142.46981166294643,-11.428638132800984,-6.235917606450911,54.80709822023163
2020-01-15,293,159.27266318676007,5.389281574525661,4.225403631768131,55.29975804347174
2020-01-16,189,135.5428130457641,-18.32259720403926,-13.393791426844217,56.7419493382074
2020-01-17,25,193.60363085937502,39.76124226117157,57.192897822965705,44.19281215414176
2020-01-18,295,140.32843617584746,-13.505754834878333,-11.40889690364827,60.38827950163358
2020-01-19,227,139.45062242415509,-14.36844536941636,-12.0427621189491,58.05476054968011
2020-01-20,236,142.7840730699442,-11.016873310859687,-10.06445321458321,60.06700450926508
2020-01-21,276,151.79967050967008,-1.9847605777815613,-3.8380553126143013,56.51093037700126
2020-01-22,268,142.19599949850965,-11.573700478547037,-6.766911106106363,61.83613722463321
2020-01-23,38,152.35323237368937,-1.3936106026000072,-3.473701788341586,46.55772966829804
2020-01-24,321,148.36970757695374,-5.368409878323188,-7.3787387552628445,56.21754629832221
2020-01-25,234,150.77538123497595,-2.947076436947582,-0.8414139285224422,50.83127575623696
2020-01-26,311,142.61104786373028,-11.095248392676341,-8.004127983585079,65.20198714234205
2020-01-27,0,,,,
2020-01-28,0,,,,
