variable,label,batches_scanned,limited_scan,n_rows,n_missing,missing_rate,n_non_missing,n_zero,zero_rate_all_rows,zero_rate_non_missing,zero_heavy,n_negative,n_positive,min,p01_sample,p05_sample,p25_sample,median_sample,mean,std,p75_sample,p95_sample,p99_sample,max,sample_count
era5_blh,Boundary layer height,396,False,83825280,7620480,0.09090909090909091,76204800,0,0.0,0.0,False,0,76204800,8.24055004119873,14.086576194763184,33.35220775604248,284.2418975830078,583.9710998535156,620.2402724646297,435.3868707139592,865.5820617675781,1398.5985534667964,1851.3860302734388,4957.10400390625,200000
era5_cape,CAPE,396,False,83825280,7620480,0.09090909090909091,76204800,20388178,0.24322230716079923,0.26754453787687915,False,0,55816622,0.0,0.0,0.0,0.0,1.5,109.5918658125866,285.5548424092618,34.375,683.0,1350.8762500000012,7893.875,200000
era5_cloud_layer_sum,Cloud layer sum,396,False,83825280,7620480,0.09090909090909091,76204800,5103959,0.06088806383945273,0.066976870223398,False,0,71100841,0.0,0.0,0.0,0.39239501953125,0.97772216796875,1.0551990928002746,0.8015506955082364,1.5854568481445312,2.706269836425781,2.9849246215820315,3.0,200000
era5_cp,Convective precipitation,396,False,83825280,7620480,0.09090909090909091,76204800,45569239,0.5436216735571894,0.5979838409129083,True,0,30635561,0.0,0.0,0.0,0.0,0.0,6.142230572866795e-05,0.0002714857253553496,1.5735626220703125e-05,0.00027490854263305387,0.0012824583053588912,0.01709604263305664,200000
era5_d2m,2 m dewpoint (K),396,False,83825280,7620480,0.09090909090909091,76204800,0,0.0,0.0,False,0,76204800,220.387451171875,235.81184677124023,245.09057083129883,260.26385498046875,279.2782440185547,276.2316688476582,18.3544025432433,294.037353515625,297.18542633056643,297.9041751098633,302.618408203125,200000
era5_d2m_c,2 m dewpoint (C),396,False,83825280,7620480,0.09090909090909091,76204800,14,1.670140559029448e-07,1.8371546149323928e-07,False,32403677,43801109,-52.762542724609375,-37.667960510253906,-28.270584869384766,-13.011734008789062,6.1314239501953125,3.0816749511738615,18.354402543243715,20.857406616210938,24.047698974609375,24.762725830078125,29.468414306640625,200000
era5_dewpoint_depression,Dewpoint depression (K),396,False,83825280,7620480,0.09090909090909091,76204800,438,5.225154034677844e-06,5.747669438145629e-06,False,20504,76183858,-0.00286865234375,0.38192626953125,1.18154296875,2.442779541015625,3.4464569091796875,4.515266574557626,4.114662120514149,5.1161346435546875,11.192015838623036,24.529873046875025,57.319488525390625,200000
era5_hcc,High cloud cover,396,False,83825280,7620480,0.09090909090909091,76204800,34926435,0.41665754054146914,0.45832329459561605,False,0,41278365,0.0,0.0,0.0,0.0,0.02398681640625,0.33565784726623843,0.4149424195725484,0.831329345703125,1.0,1.0,1.0,200000
era5_i10fg,10 m wind gust,396,False,83825280,7620480,0.09090909090909091,76204800,0,0.0,0.0,False,0,76204800,0.05541639029979706,1.6193848395347594,2.6818300247192384,5.354273080825806,8.134974479675293,8.760819144235535,4.64206027001519,11.1301748752594,17.440662002563457,23.57633224487305,48.816898345947266,200000
era5_lcc,Low cloud cover,396,False,83825280,7620480,0.09090909090909091,76204800,11601275,0.138398285099674,0.1522381136096414,False,0,64603525,0.0,0.0,0.0,0.065277099609375,0.2884521484375,0.4223403002355384,0.38264958445979463,0.85894775390625,1.0,1.0,1.0,200000
