variable,label,n_rows,n_missing,missing_rate,n_non_missing
era5_blh,Boundary layer height,83825280,7620480,0.09090909090909091,76204800
era5_cape,CAPE,83825280,7620480,0.09090909090909091,76204800
era5_cloud_layer_sum,Cloud layer sum,83825280,7620480,0.09090909090909091,76204800
era5_cp,Convective precipitation,83825280,7620480,0.09090909090909091,76204800
era5_d2m,2 m dewpoint (K),83825280,7620480,0.09090909090909091,76204800
era5_d2m_c,2 m dewpoint (C),83825280,7620480,0.09090909090909091,76204800
era5_dewpoint_depression,Dewpoint depression (K),83825280,7620480,0.09090909090909091,76204800
era5_hcc,High cloud cover,83825280,7620480,0.09090909090909091,76204800
era5_i10fg,10 m wind gust,83825280,7620480,0.09090909090909091,76204800
era5_lcc,Low cloud cover,83825280,7620480,0.09090909090909091,76204800
era5_mcc,Medium cloud cover,83825280,7620480,0.09090909090909091,76204800
era5_msl,Mean sea-level pressure,83825280,7620480,0.09090909090909091,76204800
era5_sd,Snow depth,83825280,7620480,0.09090909090909091,76204800
era5_sp,Surface pressure,83825280,7620480,0.09090909090909091,76204800
era5_ssrd,Surface solar radiation downwards,83825280,7620480,0.09090909090909091,76204800
era5_strd,Surface thermal radiation downwards,83825280,7620480,0.09090909090909091,76204800
era5_swvl1,Volumetric soil water layer 1,83825280,7620480,0.09090909090909091,76204800
era5_t2m,2 m temperature (K),83825280,7620480,0.09090909090909091,76204800
era5_t2m_c,2 m temperature (C),83825280,7620480,0.09090909090909091,76204800
era5_tcc,Total cloud cover,83825280,7620480,0.09090909090909091,76204800
era5_tcwv,Total column water vapour,83825280,7620480,0.09090909090909091,76204800
era5_tp,Total precipitation,83825280,7620480,0.09090909090909091,76204800
era5_u10,10 m east wind,83825280,7620480,0.09090909090909091,76204800
era5_v10,10 m north wind,83825280,7620480,0.09090909090909091,76204800
era5_wind10_speed,10 m wind speed,83825280,7620480,0.09090909090909091,76204800
