variable,label,batches_scanned,limited_scan,n_rows,n_missing,missing_rate,n_non_missing,n_zero,zero_rate_all_rows,zero_rate_non_missing,zero_heavy,n_negative,n_positive,min,p01_sample,p05_sample,p25_sample,median_sample,mean,std,p75_sample,p95_sample,p99_sample,max,sample_count
era5_siconc,era5 siconc,396,False,83825280,34353360,0.4098209991067134,49471920,38800995,0.46287939628713437,0.7843033987765181,True,0,10670925,0.0,0.0,0.0,0.0,0.0,0.19682647866684852,0.38301415517571874,0.0,0.987762451171875,1.0,1.0,200000
era5_cvh,era5 cvh,396,False,83825280,7620480,0.09090909090909091,76204800,58594080,0.6990024966215442,0.7689027462836987,True,0,17610720,0.0,0.0,0.0,0.0,0.0,0.12924607438250013,0.298686268287066,0.0,0.975311279296875,1.0,1.0,200000
era5_tvh,era5 tvh,396,False,83825280,7620480,0.09090909090909091,76204800,58441080,0.6971772715820335,0.7668949987402368,True,0,17763720,0.0,0.0,0.0,0.0,0.0,2.7184130133534894,6.037338181563384,0.0,19.0,19.0,19.0,200000
era5_lai_hv,era5 lai hv,396,False,83825280,7620480,0.09090909090909091,76204800,57670800,0.6879881582262535,0.7567869740488788,True,0,18534000,0.0,0.0,0.0,0.0,0.0,0.617039360869108,1.2954381301213442,0.0,3.9412841796875,5.30421508789064,6.83935546875,200000
era5_cl,era5 cl,396,False,83825280,7620480,0.09090909090909091,76204800,56224200,0.6707308344213107,0.7378039178634417,True,0,19980600,0.0,0.0,0.0,0.0,0.0,0.01038197214832742,0.057846325376778085,3.3020973205566406e-05,0.04786459803581234,0.19018065929412842,1.0,200000
era5_tvl,era5 tvl,396,False,83825280,7620480,0.09090909090909091,76204800,53605440,0.6394901394901394,0.7034391534391534,True,0,22599360,0.0,0.0,0.0,0.0,0.0,2.0466159611992945,4.123832200191132,1.0,11.0,17.0,17.0,200000
era5_cvl,era5 cvl,396,False,83825280,7620480,0.09090909090909091,76204800,52875120,0.6307777319682082,0.693855505165029,True,0,23329680,0.0,0.0,0.0,0.0,0.0,0.1552794373836617,0.31983029423035136,0.02498185634613037,0.9897098064422607,1.0,1.0,200000
era5_lai_lv,era5 lai lv,396,False,83825280,7620480,0.09090909090909091,76204800,52693920,0.6286160929018072,0.6914777021919879,True,0,23510880,0.0,0.0,0.0,0.0,0.0,0.4034069613620678,0.766669005393959,0.518310546875,2.333984375,2.959595947265626,4.207763671875,200000
era5_slt,era5 slt,396,False,83825280,7620480,0.09090909090909091,76204800,49481520,0.5902935248173343,0.6493228772990678,True,0,26723280,0.0,0.0,0.0,0.0,0.0,0.849949609473419,1.3618235986576446,2.0,4.0,6.0,7.0,200000
era5_avg_sdswrf,era5 avg sdswrf,396,False,83825280,7620480,0.09090909090909091,76204800,48502941,0.5786194928308024,0.6364814421138826,True,0,27701859,0.0,0.0,0.0,0.0,0.0,114.97058813265372,227.38016056007433,92.53125,688.7515624999996,898.5,1243.96875,200000
era5_avg_snswrfcs,era5 avg snswrfcs,396,False,83825280,7620480,0.09090909090909091,76204800,48496118,0.5785380973377006,0.6363919070714705,True,0,27708682,0.0,0.0,0.0,0.0,0.0,129.52792563181717,250.9487596115329,112.9453125,767.75,959.21875,1106.8125,200000
era5_avg_sdswrfcs,era5 avg sdswrfcs,396,False,83825280,7620480,0.09090909090909091,76204800,48481445,0.5783630546775388,0.6361993601452927,True,0,27723355,0.0,0.0,0.0,0.0,0.0,144.6039224444359,272.1461361428257,146.28125,822.78125,1011.0625,1239.65625,200000
era5_tisr,era5 tisr,396,False,83825280,7620480,0.09090909090909091,76204800,48433906,0.5777959345915695,0.6355755280507265,True,0,27770894,0.0,0.0,0.0,0.0,0.0,751325.5544234484,1349654.0700337389,957568.0,4051968.0,4813955.840000004,5028992.0,200000
era5_lsm,era5 lsm,396,False,83825280,7620480,0.09090909090909091,76204800,45128640,0.5383655145559908,0.5922020660115899,True,0,31076160,0.0,0.0,0.0,0.0,0.0,0.3460295082159804,0.4590166527898289,0.9850997924804688,1.0,1.0,1.0,200000
