,clara_radiance_hourly_mean,era5_tcc,era5_lcc,era5_mcc,era5_hcc,era5_cloud_layer_sum,era5_strd,era5_t2m_c,era5_d2m_c,era5_dewpoint_depression,era5_tcwv,era5_wind10_speed,era5_tp,era5_cp,era5_cape,era5_blh,era5_sp,era5_msl,era5_i10fg
clara_radiance_hourly_mean,1.0,-0.10262315604246544,0.038572219126777864,-0.10840709008960434,-0.15708732533378508,-0.09729354989584824,-0.08395881463475403,-0.08215169867048287,-0.06929098079147494,0.08577975250807393,-0.08154903280244505,0.0636299103190643,-0.09396525549550572,-0.04720266032299347,-0.13762873151580196,0.09749574163021955,0.18821587301370918,0.22473641587261017,0.06981409844988963
era5_tcc,-0.10262315604246544,1.0,0.5939958299991533,0.5382927857794628,0.6115069993860421,0.9405672583566941,0.0018372479834386024,-0.20989900010613421,-0.11910853446871447,-0.40047202822316874,-0.038993760138473076,0.14289476294902,0.4734777736760362,0.11614756199791242,0.239287371603073,0.10905966906769442,-0.006241600578412353,-0.1684058677071376,0.20060386197794083
era5_lcc,0.038572219126777864,0.5939958299991533,1.0,0.23809955944597283,-0.016759662384206037,0.5866390391354851,-0.16800756227986488,-0.3743967631708724,-0.2831174139165336,-0.40991759415013523,-0.25339637022442196,0.3165194882468785,0.4798693141828164,0.1095007046203665,0.12351452176657281,0.28784060894364294,0.17696699921544695,-0.0003885140751781744,0.3639915857395724
era5_mcc,-0.10840709008960434,0.5382927857794628,0.23809955944597283,1.0,0.3654355946624048,0.6811316266415941,0.029259666996940575,-0.10591116435484396,-0.02772473388703246,-0.2673154030878373,0.03720436513997944,0.15016818271804563,0.569930489533255,0.32139016668794984,0.28150250230647805,0.09464712159734547,-0.17337921877832732,-0.33144207104280593,0.2233669634649355
era5_hcc,-0.15708732533378508,0.6115069993860421,-0.016759662384206037,0.3654355946624048,1.0,0.6610542109960628,0.27803572750082883,0.18110516480724886,0.23090114736067446,-0.18961124405556992,0.3022007800325969,-0.04094515513004063,0.207778433791097,0.13882660308978426,0.23418994118239916,-0.03191414519808377,-0.058038239768570726,-0.18455699276410087,-0.01084928696380313
era5_cloud_layer_sum,-0.09729354989584824,0.9405672583566941,0.5866390391354851,0.6811316266415941,0.6610542109960628,1.0,0.019750041538759366,-0.19655929558939633,-0.09909092826289317,-0.40967850802751193,-0.010971012838700257,0.15150444058465887,0.5337969127540593,0.1855257672367714,0.25559913598423895,0.12352859248751252,-0.04095589150050385,-0.20226518064535642,0.22371163506675792
era5_strd,-0.08395881463475403,0.0018372479834386024,-0.16800756227986488,0.029259666996940575,0.27803572750082883,0.019750041538759366,1.0,0.9407589917738364,0.9646532495579953,0.031657085965056626,0.9737432131724394,0.07700408093142379,0.20302134117530654,0.4542580816320684,0.5967518030609437,0.24176288828388467,0.3352676003913041,-0.1544956648798472,-0.026017774115143028
era5_t2m_c,-0.08215169867048287,-0.20989900010613421,-0.3743967631708724,-0.10591116435484396,0.18110516480724886,-0.19655929558939633,0.9407589917738364,1.0,0.9569619980555991,0.23284515132715317,0.9253226543122555,0.03960657875185591,0.014672218688980648,0.3611099178708051,0.48800664861688614,0.23088605133045775,0.2876053884372117,-0.17066288395362775,-0.07955153668188492
era5_d2m_c,-0.06929098079147494,-0.11910853446871447,-0.2831174139165336,-0.02772473388703246,0.23090114736067446,-0.09909092826289317,0.9646532495579953,0.9569619980555991,1.0,0.03118892001188052,0.965999365128869,0.060333551286405024,0.1385148716256946,0.4540420970821695,0.5963565783647251,0.2294691784733443,0.3199276489739349,-0.16828876913033966,-0.04819598924305097
era5_dewpoint_depression,0.08577975250807393,-0.40047202822316874,-0.40991759415013523,-0.2673154030878373,-0.18961124405556992,-0.40967850802751193,0.031657085965056626,0.23284515132715317,0.03118892001188052,1.0,-0.006546956322249129,0.08668874746015678,-0.4141408776592384,-0.1256446464412079,-0.29166549653379054,0.2758662339975746,0.13851748918487203,0.1065857212209628,0.013024291551068235
