variable,label,n,pearson,spearman,abs_spearman
era5_msl_hpa,Mean sea-level pressure (hPa),1027,0.12018005806117285,0.22473641587261017,0.22473641587261017
era5_sp_hpa,Surface pressure (hPa),1027,0.04071992281576175,0.1882158730137092,0.1882158730137092
era5_hcc_pct,High cloud cover (%),1027,-0.15140999527783433,-0.15708732533378508,0.15708732533378508
era5_cape_log1p,log1p(CAPE),1027,-0.25116115365455355,-0.137628731515802,0.137628731515802
era5_mcc_pct,Medium cloud cover (%),1027,-0.009316870828705274,-0.10840709008960432,0.10840709008960432
era5_tcc_pct,Total cloud cover (%),1027,-0.027251604999064462,-0.10262315604246544,0.10262315604246544
era5_blh_log1p,log1p(boundary layer height),1027,0.04102477797988636,0.09749574163021955,0.09749574163021955
era5_cloud_layer_sum_pct_points,Cloud layer sum (% points),1027,-0.013923631576609622,-0.09729354989584824,0.09729354989584824
era5_tp_log1p,log1p(total precipitation),1027,-0.05691125591035435,-0.09396525549550569,0.09396525549550569
era5_dewpoint_depression_log1p,log1p(dewpoint depression),1027,-0.0026897601304090102,0.08577975250807392,0.08577975250807392
era5_strd_log1p,log1p(surface thermal radiation downwards),1027,-0.20121170341668868,-0.08395881463475403,0.08395881463475403
era5_t2m_c,2 m temperature (C),1027,-0.20331592136618934,-0.08215169867048287,0.08215169867048287
era5_tcwv_log1p,log1p(total column water vapour),1027,-0.24042229734511456,-0.08154903280244506,0.08154903280244506
era5_i10fg_log1p,log1p(10 m wind gust),1027,0.1175321484696341,0.06981409844988963,0.06981409844988963
era5_d2m_c,2 m dewpoint (C),1027,-0.19560383122668373,-0.06929098079147494,0.06929098079147494
era5_wind10_speed_log1p,log1p(10 m wind speed),1027,0.08862050393073502,0.0636299103190643,0.0636299103190643
era5_cp_log1p,log1p(convective precipitation),1027,-0.08251164485966875,-0.04720266032299347,0.04720266032299347
era5_lcc_pct,Low cloud cover (%),1027,0.1499214845285429,0.038572219126777864,0.038572219126777864
era5_swvl1_pct,Volumetric soil water layer 1 (%),1027,-0.00981667273992026,-0.014332959911404153,0.014332959911404153
