source_column,analysis_column,source_label,analysis_label,transform,source_non_null,analysis_non_null
era5_swvl1,era5_swvl1_pct,Volumetric soil water layer 1,Volumetric soil water layer 1 (%),fraction_to_percent,1027,1027
era5_tcc,era5_tcc_pct,Total cloud cover,Total cloud cover (%),fraction_to_percent,1027,1027
era5_lcc,era5_lcc_pct,Low cloud cover,Low cloud cover (%),fraction_to_percent,1027,1027
era5_mcc,era5_mcc_pct,Medium cloud cover,Medium cloud cover (%),fraction_to_percent,1027,1027
era5_hcc,era5_hcc_pct,High cloud cover,High cloud cover (%),fraction_to_percent,1027,1027
era5_cloud_layer_sum,era5_cloud_layer_sum_pct_points,Cloud layer sum,Cloud layer sum (% points),fraction_sum_to_percent_points,1027,1027
era5_ssrd,era5_ssrd_log1p,Surface solar radiation downwards,log1p(surface solar radiation downwards),negative_to_nan_then_log1p,1027,1027
era5_strd,era5_strd_log1p,Surface thermal radiation downwards,log1p(surface thermal radiation downwards),negative_to_nan_then_log1p,1027,1027
era5_t2m_c,era5_t2m_c,2 m temperature (C),2 m temperature (C),already_preprocessed,1027,1027
era5_d2m_c,era5_d2m_c,2 m dewpoint (C),2 m dewpoint (C),already_preprocessed,1027,1027
era5_dewpoint_depression,era5_dewpoint_depression_log1p,Dewpoint depression (K),log1p(dewpoint depression),negative_to_nan_then_log1p,1027,1027
era5_tcwv,era5_tcwv_log1p,Total column water vapour,log1p(total column water vapour),negative_to_nan_then_log1p,1027,1027
era5_wind10_speed,era5_wind10_speed_log1p,10 m wind speed,log1p(10 m wind speed),negative_to_nan_then_log1p,1027,1027
era5_tp,era5_tp_log1p,Total precipitation,log1p(total precipitation),negative_to_nan_then_log1p,1027,1027
era5_cp,era5_cp_log1p,Convective precipitation,log1p(convective precipitation),negative_to_nan_then_log1p,1027,1027
era5_cape,era5_cape_log1p,CAPE,log1p(CAPE),negative_to_nan_then_log1p,1027,1027
era5_blh,era5_blh_log1p,Boundary layer height,log1p(boundary layer height),negative_to_nan_then_log1p,1027,1027
era5_sp,era5_sp_hpa,Surface pressure,Surface pressure (hPa),pascal_to_hpa,1027,1027
era5_msl,era5_msl_hpa,Mean sea-level pressure,Mean sea-level pressure (hPa),pascal_to_hpa,1027,1027
era5_i10fg,era5_i10fg_log1p,10 m wind gust,log1p(10 m wind gust),negative_to_nan_then_log1p,1027,1027
