hour,era5_rows,clara_matched_cells,clara_observations,clara_mean_radiance,clara_median_radiance,clara_cell_match_rate
2020-11-30 19:00:00,635040,0,0,,,0.0
2020-11-30 20:00:00,635040,0,0,,,0.0
2020-11-30 21:00:00,635040,0,0,,,0.0
2020-11-30 22:00:00,635040,0,0,,,0.0
2020-11-30 23:00:00,635040,0,0,,,0.0
2020-12-01 00:00:00,635040,0,0,,,0.0
2020-12-01 01:00:00,635040,0,0,,,0.0
2020-12-01 02:00:00,635040,23,23,176.12314,165.95343,3.621819098009574e-05
2020-12-01 03:00:00,635040,1,1,209.0752,209.0752,1.5747039556563366e-06
2020-12-01 04:00:00,635040,0,0,,,0.0
2020-12-01 05:00:00,635040,10,10,135.83354,131.97871,1.5747039556563368e-05
2020-12-01 06:00:00,635040,14,14,218.54892,225.08252,2.2045855379188714e-05
2020-12-01 07:00:00,635040,24,24,67.89499,103.23088,3.779289493575208e-05
2020-12-01 08:00:00,635040,0,0,,,0.0
2020-12-01 09:00:00,635040,24,24,52.813263,15.680639,3.779289493575208e-05
2020-12-01 10:00:00,635040,20,20,166.99881,158.43979,3.1494079113126735e-05
2020-12-01 11:00:00,635040,3,3,129.14749,124.1384,4.72411186696901e-06
2020-12-01 12:00:00,635040,24,24,50.635403,17.64072,3.779289493575208e-05
2020-12-01 13:00:00,635040,0,0,,,0.0
2020-12-01 14:00:00,635040,0,0,,,0.0
2020-12-01 15:00:00,635040,0,0,,,0.0
2020-12-01 16:00:00,635040,0,0,,,0.0
2020-12-01 17:00:00,635040,24,24,187.89545,186.86096,3.779289493575208e-05
2020-12-01 18:00:00,635040,16,16,153.09041,161.37991,2.5195263290501386e-05
2020-12-01 19:00:00,635040,8,8,9.22871,14.37392,1.2597631645250693e-05
2020-12-01 20:00:00,635040,24,24,121.85163,132.30539,3.779289493575208e-05
2020-12-01 21:00:00,635040,4,4,131.16202,129.03859,6.298815822625346e-06
2020-12-01 22:00:00,635040,20,20,168.7629,166.93347,3.1494079113126735e-05
2020-12-01 23:00:00,635040,23,23,185.18495,193.39456,3.621819098009574e-05
2020-12-02 00:00:00,635040,0,0,,,0.0
2020-12-02 01:00:00,635040,24,24,115.37249,130.3453,3.779289493575208e-05
2020-12-02 02:00:00,635040,14,14,155.59302,170.20029,2.2045855379188714e-05
2020-12-02 03:00:00,635040,10,10,205.15503,207.11511,1.5747039556563368e-05
2020-12-02 04:00:00,635040,24,24,183.34914,179.674,3.779289493575208e-05
2020-12-02 05:00:00,635040,1,1,119.56488,119.56488,1.5747039556563366e-06
2020-12-02 06:00:00,635040,23,23,109.84969,137.85896,3.621819098009574e-05
2020-12-02 07:00:00,635040,24,24,184.1114,185.55423,3.779289493575208e-05
2020-12-02 08:00:00,635040,0,0,,,0.0
2020-12-02 09:00:00,635040,24,24,76.225334,109.111115,3.779289493575208e-05
2020-12-02 10:00:00,635040,10,10,147.13667,148.96608,1.5747039556563368e-05
2020-12-02 11:00:00,635040,14,14,54.83557,17.9674,2.2045855379188714e-05
2020-12-02 12:00:00,635040,23,23,83.28919,122.83168,3.621819098009574e-05
2020-12-02 13:00:00,635040,0,0,,,0.0
2020-12-02 14:00:00,635040,24,24,60.816925,69.25616,3.779289493575208e-05
2020-12-02 15:00:00,635040,20,20,157.59042,144.39255,3.1494079113126735e-05
2020-12-02 16:00:00,635040,4,4,152.23288,146.35263,6.298815822625346e-06
2020-12-02 17:00:00,635040,19,20,208.00919,213.64871,2.9919375157470396e-05
2020-12-02 18:00:00,635040,0,0,,,0.0
2020-12-02 19:00:00,635040,0,0,,,0.0
2020-12-02 20:00:00,635040,24,24,59.346867,36.91484,3.779289493575208e-05
2020-12-02 21:00:00,635040,0,0,,,0.0
2020-12-02 22:00:00,635040,24,24,161.67937,159.09317,3.779289493575208e-05
2020-12-02 23:00:00,635040,18,18,175.28197,171.18031,2.834467120181406e-05
2020-12-03 00:00:00,635040,0,0,,,0.0
2020-12-03 01:00:00,635040,0,0,,,0.0
2020-12-03 02:00:00,635040,0,0,,,0.0
2020-12-03 03:00:00,635040,0,0,,,0.0
