variable,label,n,pearson,spearman,covariate_min,covariate_p05,covariate_median,covariate_mean,covariate_p95,covariate_max,radiance_mean,radiance_std
era5_blh,Boundary layer height,1027,0.08834254885459865,0.09749574163021955,9.348322868347168,28.274934005737304,584.5069580078125,609.69140625,1420.9832153320308,1960.985595703125,124.21983337402344,76.87970733642578
era5_cape,CAPE,1027,-0.2946257507952235,-0.137628731515802,0.0,0.0,1.875,117.14270782470703,788.5749999999986,3084.375,124.21983337402344,76.87970733642578
era5_cloud_layer_sum,Cloud layer sum,1027,-0.013923631576609604,-0.09729354989584824,0.0,0.0,0.9149169921875,0.9840707778930664,2.4901367187499996,3.0,124.21983337402344,76.87970733642578
era5_cp,Convective precipitation,1027,-0.08248919095261163,-0.04720266032299347,0.0,0.0,0.0,5.398242501541972e-05,0.00023467540740966782,0.0025124549865722656,124.21983337402344,76.87970733642578
era5_d2m_c,2 m dewpoint (C),1027,-0.19560383122668373,-0.06929098079147494,-43.569305419921875,-25.253387451171875,8.396087646484375,5.218993186950684,24.07625732421875,25.987640380859375,124.21983337402344,76.87970733642578
era5_dewpoint_depression,Dewpoint depression (K),1027,-0.05034223645722879,0.08577975250807392,0.0379638671875,1.242919921875,3.703826904296875,4.665622711181641,11.459677124023393,30.4207763671875,124.21983337402344,76.87970733642578
era5_hcc,High cloud cover,1027,-0.15140999527783428,-0.15708732533378508,0.0,0.0,0.032684326171875,0.34269389510154724,1.0,1.0,124.21983337402344,76.87970733642578
era5_i10fg,10 m wind gust,1027,0.1216591942089773,0.06981409844988963,0.9632127285003662,2.458742427825928,7.884352684020996,8.617899894714355,17.60569438934326,29.674192428588867,124.21983337402344,76.87970733642578
era5_lcc,Low cloud cover,1027,0.14992148452854293,0.038572219126777864,0.0,0.0,0.223541259765625,0.3721581995487213,1.0,1.0,124.21983337402344,76.87970733642578
era5_mcc,Medium cloud cover,1027,-0.009316870828705286,-0.10840709008960432,0.0,0.0,0.07855224609375,0.26921868324279785,0.9937408447265624,1.0,124.21983337402344,76.87970733642578
era5_msl,Mean sea-level pressure,1027,0.12018015939538448,0.22473641587261017,97489.75,99388.65,101385.6875,101469.1484375,103507.56875,105212.3125,124.21983337402344,76.87970733642578
era5_sp,Surface pressure,1027,0.04071992375929881,0.1882158730137092,52773.0234375,87282.61015625,100985.03125,98616.625,102568.80703125,104417.6875,124.21983337402344,76.87970733642578
era5_strd,Surface thermal radiation downwards,1027,-0.23274664995468777,-0.08395881463475403,384761.375,605217.35,1194232.25,1151822.5,1543310.025,1604857.75,124.21983337402344,76.87970733642578
era5_t2m_c,2 m temperature (C),1027,-0.20331592136618934,-0.08215169867048287,-40.49644470214844,-21.611520385742185,16.625885009765625,9.884614944458008,28.026828002929687,32.52142333984375,124.21983337402344,76.87970733642578
era5_tcc,Total cloud cover,1027,-0.02725160499906444,-0.10262315604246544,0.0,0.0,0.793853759765625,0.639147937297821,1.0,1.0,124.21983337402344,76.87970733642578
era5_tcwv,Total column water vapour,1027,-0.31119923064358773,-0.08154903280244506,0.5238043069839478,1.9345119953155518,15.318544387817383,21.786483764648438,56.15959091186522,66.3608169555664,124.21983337402344,76.87970733642578
era5_tp,Total precipitation,1027,-0.05688445932334184,-0.09396525549550569,0.0,0.0,6.67572021484375e-06,9.78862663032487e-05,0.00047531127929687487,0.003108978271484375,124.21983337402344,76.87970733642578
era5_wind10_speed,10 m wind speed,1027,0.09576432523613936,0.0636299103190643,0.10895070433616638,1.1578696727752686,5.064907073974609,5.779127597808838,12.620301628112786,20.937911987304688,124.21983337402344,76.87970733642578
