variable,label,distance_bin,distance_start_km,distance_end_km,distance_mean_km,n_pairs,spatial_autocorrelation
clara_radiance_hourly_mean,CLARA radiance,1,0.0,901.9937213825546,515.0510661829162,1083,0.9210480153992835
clara_radiance_hourly_mean,CLARA radiance,2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.8243272576169883
clara_radiance_hourly_mean,CLARA radiance,3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.6686185791645626
clara_radiance_hourly_mean,CLARA radiance,4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.49922896749766493
clara_radiance_hourly_mean,CLARA radiance,5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.30288250005267997
clara_radiance_hourly_mean,CLARA radiance,6,4509.968606912773,5411.962328295327,4867.039162655121,932,0.13888719982706965
clara_radiance_hourly_mean,CLARA radiance,7,5411.962328295327,6313.956049677882,5784.053376310686,762,0.05083391907486235
clara_radiance_hourly_mean,CLARA radiance,8,6313.956049677882,7215.949771060436,6704.564317751114,603,0.05548538829023658
clara_radiance_hourly_mean,CLARA radiance,9,7215.949771060436,8117.943492442991,7629.207724215055,459,0.04865521734098105
clara_radiance_hourly_mean,CLARA radiance,10,8117.943492442991,9019.937213825546,8566.468055533569,320,0.0008170194856037854
clara_radiance_hourly_mean,CLARA radiance,11,9019.937213825546,9921.9309352081,9507.771715950392,188,-0.09575206717872027
clara_radiance_hourly_mean,CLARA radiance,12,9921.9309352081,10823.92466741458,10418.133901698027,69,-0.05272077116630692
era5_swvl1_pct,Volumetric soil water layer 1 (%),1,0.0,901.9937213825546,515.0510661829162,1083,0.565300519737359
era5_swvl1_pct,Volumetric soil water layer 1 (%),2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.3528780227176029
era5_swvl1_pct,Volumetric soil water layer 1 (%),3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.20311198744644396
era5_swvl1_pct,Volumetric soil water layer 1 (%),4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.049268734051170986
era5_swvl1_pct,Volumetric soil water layer 1 (%),5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.08462720794879455
era5_swvl1_pct,Volumetric soil water layer 1 (%),6,4509.968606912773,5411.962328295327,4867.039162655121,932,0.03896675212113064
era5_swvl1_pct,Volumetric soil water layer 1 (%),7,5411.962328295327,6313.956049677882,5784.053376310686,762,0.04193507542017882
era5_swvl1_pct,Volumetric soil water layer 1 (%),8,6313.956049677882,7215.949771060436,6704.564317751114,603,0.04636338284050204
era5_swvl1_pct,Volumetric soil water layer 1 (%),9,7215.949771060436,8117.943492442991,7629.207724215055,459,0.06681402274750758
era5_swvl1_pct,Volumetric soil water layer 1 (%),10,8117.943492442991,9019.937213825546,8566.468055533569,320,0.12728778605185523
era5_swvl1_pct,Volumetric soil water layer 1 (%),11,9019.937213825546,9921.9309352081,9507.771715950392,188,0.22684527724459186
era5_swvl1_pct,Volumetric soil water layer 1 (%),12,9921.9309352081,10823.92466741458,10418.133901698027,69,0.28212744583622157
era5_tcc_pct,Total cloud cover (%),1,0.0,901.9937213825546,515.0510661829162,1083,0.44024221566853133
era5_tcc_pct,Total cloud cover (%),2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.1859748783637215
era5_tcc_pct,Total cloud cover (%),3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.04300715742501059
era5_tcc_pct,Total cloud cover (%),4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,-0.009735954025983175
era5_tcc_pct,Total cloud cover (%),5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,-0.13065341006764652
era5_tcc_pct,Total cloud cover (%),6,4509.968606912773,5411.962328295327,4867.039162655121,932,-0.1507974273290493
era5_tcc_pct,Total cloud cover (%),7,5411.962328295327,6313.956049677882,5784.053376310686,762,-0.060746561993818546
era5_tcc_pct,Total cloud cover (%),8,6313.956049677882,7215.949771060436,6704.564317751114,603,-0.05291600325475076
era5_tcc_pct,Total cloud cover (%),9,7215.949771060436,8117.943492442991,7629.207724215055,459,0.017549752402797915
era5_tcc_pct,Total cloud cover (%),10,8117.943492442991,9019.937213825546,8566.468055533569,320,0.04143681523607081
era5_tcc_pct,Total cloud cover (%),11,9019.937213825546,9921.9309352081,9507.771715950392,188,0.14938094326800666
era5_tcc_pct,Total cloud cover (%),12,9921.9309352081,10823.92466741458,10418.133901698027,69,-0.04883332050363028
era5_lcc_pct,Low cloud cover (%),1,0.0,901.9937213825546,515.0510661829162,1083,0.4670096116281223
era5_lcc_pct,Low cloud cover (%),2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.3166484523549549
era5_lcc_pct,Low cloud cover (%),3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.17635023583203274
era5_lcc_pct,Low cloud cover (%),4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.05836164263192426
era5_lcc_pct,Low cloud cover (%),5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.05880426195005682
era5_lcc_pct,Low cloud cover (%),6,4509.968606912773,5411.962328295327,4867.039162655121,932,-0.009131751154760604
era5_lcc_pct,Low cloud cover (%),7,5411.962328295327,6313.956049677882,5784.053376310686,762,0.05424454377614351
era5_lcc_pct,Low cloud cover (%),8,6313.956049677882,7215.949771060436,6704.564317751114,603,0.020990056323604865
era5_lcc_pct,Low cloud cover (%),9,7215.949771060436,8117.943492442991,7629.207724215055,459,-0.06932375073063872
era5_lcc_pct,Low cloud cover (%),10,8117.943492442991,9019.937213825546,8566.468055533569,320,-0.050917987019430025
era5_lcc_pct,Low cloud cover (%),11,9019.937213825546,9921.9309352081,9507.771715950392,188,-0.05124363223466823
era5_lcc_pct,Low cloud cover (%),12,9921.9309352081,10823.92466741458,10418.133901698027,69,-0.042345457645869174
era5_mcc_pct,Medium cloud cover (%),1,0.0,901.9937213825546,515.0510661829162,1083,0.29913605978182706
era5_mcc_pct,Medium cloud cover (%),2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.10288840385685209
era5_mcc_pct,Medium cloud cover (%),3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.02993906080828475
era5_mcc_pct,Medium cloud cover (%),4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.059064963700322194
era5_mcc_pct,Medium cloud cover (%),5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.04957143027840618
era5_mcc_pct,Medium cloud cover (%),6,4509.968606912773,5411.962328295327,4867.039162655121,932,-0.04141527616552124
era5_mcc_pct,Medium cloud cover (%),7,5411.962328295327,6313.956049677882,5784.053376310686,762,-0.0035529124412785385
era5_mcc_pct,Medium cloud cover (%),8,6313.956049677882,7215.949771060436,6704.564317751114,603,0.01818093145615459
era5_mcc_pct,Medium cloud cover (%),9,7215.949771060436,8117.943492442991,7629.207724215055,459,0.05737973128696554
