variable,label,lag_hours,n_pairs,autocorrelation
clara_radiance_hourly_mean,CLARA radiance,0,59,1.0
clara_radiance_hourly_mean,CLARA radiance,1,44,0.09248615039138676
clara_radiance_hourly_mean,CLARA radiance,2,41,-0.08924345434847208
clara_radiance_hourly_mean,CLARA radiance,3,40,-0.09154713465836994
clara_radiance_hourly_mean,CLARA radiance,4,36,0.13131848668759752
clara_radiance_hourly_mean,CLARA radiance,5,39,0.13830780297576536
clara_radiance_hourly_mean,CLARA radiance,6,36,-0.10430620907182649
clara_radiance_hourly_mean,CLARA radiance,7,33,0.09226618579820862
clara_radiance_hourly_mean,CLARA radiance,8,37,-0.07613577185608164
clara_radiance_hourly_mean,CLARA radiance,9,30,-0.19340581324826558
clara_radiance_hourly_mean,CLARA radiance,10,30,-0.04859199399103188
clara_radiance_hourly_mean,CLARA radiance,11,30,-0.12925663085218067
clara_radiance_hourly_mean,CLARA radiance,12,27,0.054734074681861346
clara_radiance_hourly_mean,CLARA radiance,13,29,-0.17905718085613773
clara_radiance_hourly_mean,CLARA radiance,14,25,0.11911684785403871
clara_radiance_hourly_mean,CLARA radiance,15,25,-0.28647557128892087
clara_radiance_hourly_mean,CLARA radiance,16,31,-0.1655021504287486
clara_radiance_hourly_mean,CLARA radiance,17,28,0.08988532281514364
clara_radiance_hourly_mean,CLARA radiance,18,30,-0.1113834305577351
clara_radiance_hourly_mean,CLARA radiance,19,28,-0.07213231611123472
clara_radiance_hourly_mean,CLARA radiance,20,25,0.09391183653333761
clara_radiance_hourly_mean,CLARA radiance,21,28,0.09249036423767736
clara_radiance_hourly_mean,CLARA radiance,22,25,-0.15093403722454918
clara_radiance_hourly_mean,CLARA radiance,23,26,-0.05048863169931349
clara_radiance_hourly_mean,CLARA radiance,24,28,0.3473247603071811
era5_lcc,Low cloud cover,0,59,1.0
era5_lcc,Low cloud cover,1,44,-0.032877506182757366
era5_lcc,Low cloud cover,2,41,-0.11883963138223497
era5_lcc,Low cloud cover,3,40,0.30403745121807624
era5_lcc,Low cloud cover,4,36,-0.15487284339386997
era5_lcc,Low cloud cover,5,39,0.271792427442049
era5_lcc,Low cloud cover,6,36,-0.05521189438980261
era5_lcc,Low cloud cover,7,33,-0.13792626030331798
era5_lcc,Low cloud cover,8,37,0.41021830137756193
era5_lcc,Low cloud cover,9,30,-0.08996265692358854
era5_lcc,Low cloud cover,10,30,-0.29797016631041684
era5_lcc,Low cloud cover,11,30,-0.2708085526485304
era5_lcc,Low cloud cover,12,27,-0.14675945197213183
era5_lcc,Low cloud cover,13,29,0.2104630923705733
era5_lcc,Low cloud cover,14,25,-0.08948838736481828
era5_lcc,Low cloud cover,15,25,-0.05507402910868241
era5_lcc,Low cloud cover,16,31,-0.024788962584703735
era5_lcc,Low cloud cover,17,28,-0.168476430049654
era5_lcc,Low cloud cover,18,30,-0.06518178796805466
era5_lcc,Low cloud cover,19,28,0.0322547539588075
era5_lcc,Low cloud cover,20,25,-0.2575153637805641
era5_lcc,Low cloud cover,21,28,0.3524803749571185
era5_lcc,Low cloud cover,22,25,0.16661857072447536
era5_lcc,Low cloud cover,23,26,-0.14796496992425603
era5_lcc,Low cloud cover,24,28,0.30421497251690016
