variable,label,distance_bin,distance_start_km,distance_end_km,distance_mean_km,n_pairs,semivariance
clara_radiance_hourly_mean,CLARA radiance,1,0.0,901.9937213825546,515.0510661829162,1083,447.5584713627467
clara_radiance_hourly_mean,CLARA radiance,2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,1116.9980177697919
clara_radiance_hourly_mean,CLARA radiance,3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,2121.6923529205405
clara_radiance_hourly_mean,CLARA radiance,4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,3310.584836479468
clara_radiance_hourly_mean,CLARA radiance,5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,4611.7484202150445
clara_radiance_hourly_mean,CLARA radiance,6,4509.968606912773,5411.962328295327,4867.039162655121,932,5638.3368303006055
clara_radiance_hourly_mean,CLARA radiance,7,5411.962328295327,6313.956049677882,5784.053376310686,762,6440.480478062991
clara_radiance_hourly_mean,CLARA radiance,8,6313.956049677882,7215.949771060436,6704.564317751114,603,6715.953862831884
clara_radiance_hourly_mean,CLARA radiance,9,7215.949771060436,8117.943492442991,7629.207724215055,459,6763.270094654957
clara_radiance_hourly_mean,CLARA radiance,10,8117.943492442991,9019.937213825546,8566.468055533569,320,6888.399402229651
clara_radiance_hourly_mean,CLARA radiance,11,9019.937213825546,9921.9309352081,9507.771715950392,188,6666.0593331653
clara_radiance_hourly_mean,CLARA radiance,12,9921.9309352081,10823.92466741458,10418.133901698027,69,5756.897003465639
era5_lcc,Low cloud cover,1,0.0,901.9937213825546,515.0510661829162,1083,0.07277504554051056
era5_lcc,Low cloud cover,2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.09244525008516027
era5_lcc,Low cloud cover,3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.11384652395638714
era5_lcc,Low cloud cover,4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.13340637477223286
era5_lcc,Low cloud cover,5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.14156820492287003
era5_lcc,Low cloud cover,6,4509.968606912773,5411.962328295327,4867.039162655121,932,0.15972988517573222
era5_lcc,Low cloud cover,7,5411.962328295327,6313.956049677882,5784.053376310686,762,0.16268109289252167
era5_lcc,Low cloud cover,8,6313.956049677882,7215.949771060436,6704.564317751114,603,0.1838006019479538
era5_lcc,Low cloud cover,9,7215.949771060436,8117.943492442991,7629.207724215055,459,0.20431256858928207
era5_lcc,Low cloud cover,10,8117.943492442991,9019.937213825546,8566.468055533569,320,0.20918973789230222
era5_lcc,Low cloud cover,11,9019.937213825546,9921.9309352081,9507.771715950392,188,0.2187585076094268
era5_lcc,Low cloud cover,12,9921.9309352081,10823.92466741458,10418.133901698027,69,0.25682764015147
era5_mcc,Medium cloud cover,1,0.0,901.9937213825546,515.0510661829162,1083,0.08507235418826287
era5_mcc,Medium cloud cover,2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.10568097047535252
era5_mcc,Medium cloud cover,3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.11474018265813013
era5_mcc,Medium cloud cover,4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.11252940175829401
era5_mcc,Medium cloud cover,5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.11962902660314259
era5_mcc,Medium cloud cover,6,4509.968606912773,5411.962328295327,4867.039162655121,932,0.13609797008387553
era5_mcc,Medium cloud cover,7,5411.962328295327,6313.956049677882,5784.053376310686,762,0.13798923950197464
