fold_id,space_fold,time_fold,n_train,n_test,feature,impurity_importance,feature_group
space0_time0,0,0,580,47,era5_swvl1,0.038571446511668474,Atmospheric
space0_time0,0,0,580,47,era5_stl1,0.043938022919536274,Atmospheric
space0_time0,0,0,580,47,era5_cl,0.0025540994852813145,Atmospheric
space0_time0,0,0,580,47,era5_cvl,0.003708938223855259,Atmospheric
space0_time0,0,0,580,47,era5_cvh,0.003744937795646948,Atmospheric
space0_time0,0,0,580,47,era5_tvl,0.0021152960815152533,Atmospheric
space0_time0,0,0,580,47,era5_tvh,0.0019111425010161335,Atmospheric
space0_time0,0,0,580,47,era5_siconc,0.0002718953383399466,Atmospheric
space0_time0,0,0,580,47,era5_asn,0.001452217008906142,Atmospheric
space0_time0,0,0,580,47,era5_sst,0.02518126486045335,Atmospheric
space0_time0,0,0,580,47,era5_slt,0.003937001259691646,Atmospheric
space0_time0,0,0,580,47,era5_lai_lv,0.006706808219903696,Atmospheric
space0_time0,0,0,580,47,era5_lai_hv,0.01771299978911721,Atmospheric
space0_time0,0,0,580,47,era5_sp,0.02592735151245538,Atmospheric
space0_time0,0,0,580,47,era5_tcw,0.043245007334345366,Atmospheric
space0_time0,0,0,580,47,era5_tcwv,0.058403376002207734,Atmospheric
space0_time0,0,0,580,47,era5_msl,0.02345591130297964,Atmospheric
space0_time0,0,0,580,47,era5_t2m,0.042820088144449896,Atmospheric
space0_time0,0,0,580,47,era5_lsm,0.0050297161594756515,Atmospheric
space0_time0,0,0,580,47,era5_lcc,0.01785059212429669,Atmospheric
space0_time0,0,0,580,47,era5_mcc,0.011053501328962037,Atmospheric
space0_time0,0,0,580,47,era5_hcc,0.011913680748789988,Atmospheric
space0_time0,0,0,580,47,era5_tco3,0.01961845365351797,Atmospheric
space0_time0,0,0,580,47,era5_skt,0.04275999221797819,Atmospheric
space0_time0,0,0,580,47,era5_tsn,0.04181367012781768,Atmospheric
space0_time0,0,0,580,47,era5_fal,0.023390790737242872,Atmospheric
space0_time0,0,0,580,47,era5_lmlt,0.043775550681818994,Atmospheric
space0_time0,0,0,580,47,era5_lict,0.12190955259958472,Atmospheric
space0_time0,0,0,580,47,era5_deg0l,0.03203255578951242,Atmospheric
space0_time0,0,0,580,47,era5_avg_sdlwrf,0.04567647157093279,Atmospheric
space0_time0,0,0,580,47,era5_avg_snlwrf,0.023006877536000166,Atmospheric
space0_time0,0,0,580,47,era5_avg_snlwrfcs,0.027913147576472647,Atmospheric
space0_time0,0,0,580,47,hour,0.039806740582327436,Time
space0_time0,0,0,580,47,latitude,0.08887638930589196,Space
space0_time0,0,0,580,47,longitude,0.057914512968008126,Space
space0_time1,0,1,562,52,era5_swvl1,0.04164510153210203,Atmospheric
space0_time1,0,1,562,52,era5_stl1,0.04175166186770693,Atmospheric
space0_time1,0,1,562,52,era5_cl,0.002144103803426726,Atmospheric
space0_time1,0,1,562,52,era5_cvl,0.0040839644012221465,Atmospheric
space0_time1,0,1,562,52,era5_cvh,0.004995394486205174,Atmospheric
space0_time1,0,1,562,52,era5_tvl,0.0032131649983853485,Atmospheric
space0_time1,0,1,562,52,era5_tvh,0.0017896351794206829,Atmospheric
space0_time1,0,1,562,52,era5_siconc,0.0002174919486396205,Atmospheric
space0_time1,0,1,562,52,era5_asn,0.0009630399902898701,Atmospheric
space0_time1,0,1,562,52,era5_sst,0.025490233292342783,Atmospheric
space0_time1,0,1,562,52,era5_slt,0.0029423376272695446,Atmospheric
space0_time1,0,1,562,52,era5_lai_lv,0.005992325155529624,Atmospheric
space0_time1,0,1,562,52,era5_lai_hv,0.011278888037229214,Atmospheric
space0_time1,0,1,562,52,era5_sp,0.03983855791791378,Atmospheric
space0_time1,0,1,562,52,era5_tcw,0.03746102602434196,Atmospheric
space0_time1,0,1,562,52,era5_tcwv,0.042765737995930767,Atmospheric
space0_time1,0,1,562,52,era5_msl,0.038025928026950075,Atmospheric
space0_time1,0,1,562,52,era5_t2m,0.03927791276824464,Atmospheric
space0_time1,0,1,562,52,era5_lsm,0.006864408027229753,Atmospheric
space0_time1,0,1,562,52,era5_lcc,0.01656647480946848,Atmospheric
space0_time1,0,1,562,52,era5_mcc,0.01423970304859807,Atmospheric
space0_time1,0,1,562,52,era5_hcc,0.01792369081797357,Atmospheric
space0_time1,0,1,562,52,era5_tco3,0.027188920747001487,Atmospheric
space0_time1,0,1,562,52,era5_skt,0.041830054508298506,Atmospheric
space0_time1,0,1,562,52,era5_tsn,0.045832080301935134,Atmospheric
space0_time1,0,1,562,52,era5_fal,0.03251562474294848,Atmospheric
space0_time1,0,1,562,52,era5_lmlt,0.04141649113658358,Atmospheric
space0_time1,0,1,562,52,era5_lict,0.11709654669881073,Atmospheric
space0_time1,0,1,562,52,era5_deg0l,0.040274764980597726,Atmospheric
space0_time1,0,1,562,52,era5_avg_sdlwrf,0.03953491888361414,Atmospheric
space0_time1,0,1,562,52,era5_avg_snlwrf,0.01647426638898902,Atmospheric
space0_time1,0,1,562,52,era5_avg_snlwrfcs,0.019640762567396098,Atmospheric
space0_time1,0,1,562,52,hour,0.04550837200904386,Time
space0_time1,0,1,562,52,latitude,0.08449154167430635,Space
space0_time1,0,1,562,52,longitude,0.048724873604054,Space
space0_time2,0,2,606,109,era5_swvl1,0.04345812608806185,Atmospheric
space0_time2,0,2,606,109,era5_stl1,0.043712318651159696,Atmospheric
space0_time2,0,2,606,109,era5_cl,0.0012327207398856617,Atmospheric
space0_time2,0,2,606,109,era5_cvl,0.0027406740382467333,Atmospheric
space0_time2,0,2,606,109,era5_cvh,0.004621822434002953,Atmospheric
space0_time2,0,2,606,109,era5_tvl,0.0017260257417901635,Atmospheric
space0_time2,0,2,606,109,era5_tvh,0.005278662369305348,Atmospheric
space0_time2,0,2,606,109,era5_siconc,0.000574227304843475,Atmospheric
space0_time2,0,2,606,109,era5_asn,0.0007357317507454811,Atmospheric
space0_time2,0,2,606,109,era5_sst,0.02895850271957908,Atmospheric
space0_time2,0,2,606,109,era5_slt,0.003209927915172352,Atmospheric
space0_time2,0,2,606,109,era5_lai_lv,0.003902349218459868,Atmospheric
space0_time2,0,2,606,109,era5_lai_hv,0.014862219097453059,Atmospheric
space0_time2,0,2,606,109,era5_sp,0.04017387300743233,Atmospheric
space0_time2,0,2,606,109,era5_tcw,0.039758957376377004,Atmospheric
space0_time2,0,2,606,109,era5_tcwv,0.0442561340215537,Atmospheric
space0_time2,0,2,606,109,era5_msl,0.03781701947428017,Atmospheric
space0_time2,0,2,606,109,era5_t2m,0.04071725015956888,Atmospheric
space0_time2,0,2,606,109,era5_lsm,0.00730398442353131,Atmospheric
space0_time2,0,2,606,109,era5_lcc,0.019204734154014098,Atmospheric
space0_time2,0,2,606,109,era5_mcc,0.014355337857545827,Atmospheric
