feature,feature_group,mean_importance,median_importance,std_importance,max_importance,n_folds
longitude,Space,0.08216540582449926,0.07727226348109234,0.02263673898023944,0.12538717537727273,15
era5_lict,Atmospheric,0.07807690217136032,0.07193940358149561,0.024956207068384785,0.12190955259958472,15
latitude,Space,0.07727473378243473,0.08012329639146586,0.015341230231748021,0.10062701336837797,15
hour,Time,0.05802373675069309,0.056565794622433156,0.01554382491848282,0.08416977335495861,15
era5_t2m,Atmospheric,0.0474666819617208,0.04483659290472271,0.00977820223960309,0.06837281595155545,15
era5_tcwv,Atmospheric,0.04609731828148876,0.04620390860347117,0.011497084259204019,0.0735528633675495,15
era5_stl1,Atmospheric,0.044344848690697866,0.042502333035178794,0.008597356806382203,0.06274266435863411,15
era5_deg0l,Atmospheric,0.04414678128484968,0.041489223328925004,0.011431654645186973,0.06956405968668711,15
era5_swvl1,Atmospheric,0.041378066624733784,0.04148557965112102,0.006956106830206392,0.05246810147541541,15
era5_avg_sdlwrf,Atmospheric,0.041130050911570466,0.03855586494383926,0.010764769375249589,0.06711569442303325,15
era5_tcw,Atmospheric,0.040274912550340235,0.039758957376377004,0.009000424985376837,0.06284677398272233,15
era5_lmlt,Atmospheric,0.03879347780655014,0.03944319002421541,0.007812209803860984,0.057965197392436246,15
era5_skt,Atmospheric,0.03844542992331688,0.037565149157369984,0.007398747990210165,0.052041607840363074,15
era5_tsn,Atmospheric,0.038138411839934626,0.03789420563165466,0.0068444041720102655,0.051285380825489744,15
era5_msl,Atmospheric,0.036477932092781905,0.03781701947428017,0.010164083644903437,0.05762307582864942,15
era5_sp,Atmospheric,0.03363587932548632,0.03267402398011447,0.0052878886058060895,0.04138808979814659,15
era5_tco3,Atmospheric,0.02936341201306987,0.029895913551321526,0.0042754690905900065,0.03805642867381523,15
era5_fal,Atmospheric,0.026579670478893303,0.02691000202881457,0.003692057981836448,0.03251562474294848,15
era5_avg_snlwrfcs,Atmospheric,0.025742047805766777,0.024332537314810606,0.005587012073542312,0.034933073369350656,15
era5_sst,Atmospheric,0.024945927308706158,0.02518126486045335,0.0054637821221933435,0.03685409358858736,15
era5_avg_snlwrf,Atmospheric,0.019523481456709516,0.019250336343325083,0.002824790696031865,0.02406280509818948,15
era5_lcc,Atmospheric,0.01766160102554478,0.01781963977701853,0.0021989502052118296,0.021081774043889147,15
era5_hcc,Atmospheric,0.014900534346309776,0.01449761739489049,0.0023077268272831916,0.01933194212708268,15
era5_mcc,Atmospheric,0.012972120577561662,0.01275380071716731,0.0015644614585389879,0.015590499569885828,15
era5_lai_hv,Atmospheric,0.008817278616968103,0.006249320988733703,0.005278405033282374,0.01771299978911721,15
era5_lsm,Atmospheric,0.008425153882318324,0.00730398442353131,0.004164412598813038,0.019864801556779967,15
era5_lai_lv,Atmospheric,0.005229770536327409,0.0058224508091998155,0.00163990798057678,0.007086996964569537,15
era5_cvl,Atmospheric,0.004023735122218706,0.003914477543412614,0.0016924715646514327,0.0065181824525034565,15
era5_cvh,Atmospheric,0.003986227519077548,0.004028522230701475,0.0013571426218644306,0.006029639106218716,15
era5_cl,Atmospheric,0.0029949707697525534,0.0030020181439711683,0.0012470211897117676,0.0050940052188455775,15
era5_tvh,Atmospheric,0.0029854056708330614,0.003249248671817747,0.0015107811541121867,0.005278662369305348,15
era5_slt,Atmospheric,0.002854959517196649,0.0029423376272695446,0.0008570945926161675,0.003937001259691646,15
era5_tvl,Atmospheric,0.002166275540027677,0.0021152960815152533,0.0006001285364967668,0.0032131649983853485,15
era5_asn,Atmospheric,0.0007563870333133385,0.0008149903498913289,0.00032909162221921853,0.001452217008906142,15
era5_siconc,Atmospheric,0.00020047095694592336,0.00019456627854846334,0.00017172482366327574,0.000574227304843475,15
