fold_id,space_fold,time_fold,n_train,n_test,rmse,mae,r2,rf_mean_rmse,rf_mean_mae,rf_mean_r2,baseline_rmse,baseline_mae,baseline_r2,variogram_model,variogram_nlags,variogram_weight,kriging_backend,kriging_n_closest_points,kriging_status,kriging_n_train,variogram_source,variogram_psill,variogram_range,variogram_nugget,variogram_structured_sill_ratio,kriging_time_std_hours,kriging_time_axis_scale_km,wrap_longitude_for_kriging,mean_kriging_variance
space0_time0,0,0,580,47,67.92684686045077,55.16944304084952,-0.5695738590577508,67.24872322031065,54.982888959158004,-0.5383917173464847,63.57284379240721,56.21091356165518,-0.37480823427423093,spherical,6,True,loop,64,fit,580,auto,147.28300040877494,7432.31617130066,1166.6525395767446,0.11209301820879135,23.265268087164987,6109.400512577827,False,1356.0700706107534
space0_time1,0,1,562,52,69.05270797437873,58.21215146224952,-0.04241726685062819,73.11147613542008,61.00937883673126,-0.1685606891236897,80.3112295109426,72.80702657769585,-0.4100441686043912,spherical,6,True,loop,64,fit,562,auto,102.97806414755992,7218.292757430182,1447.2418931117027,0.066428034076933,32.13012278946627,5906.948132213704,False,1586.1619795271693
space0_time2,0,2,606,109,98.29278871626857,82.02246987340322,-0.14847332144303427,104.30103712195292,87.61639426383226,-0.29316770810428006,98.40174695041709,87.18304297251926,-0.15102091386681238,spherical,6,True,loop,64,fit,606,empirical_fallback,1219.454790402437,12600.929743243863,135.49497671138192,0.9,31.314659951402877,7012.370354899157,False,1155.782825347685
space0_time3,0,3,568,47,92.45977887556741,74.82994787096705,-0.05925631208436699,93.38343089831501,76.21421265849719,-0.08052547721713577,89.85820966309493,80.29298906695408,-0.00048569309100576774,spherical,6,True,loop,64,fit,568,auto,535.6842140922423,7496.150510404179,1183.8768927163715,0.3115238021906852,20.350879635146523,6461.421117942559,False,1845.3406770139702
space1_time0,1,0,644,83,96.10295286929717,79.28118693953019,-0.046083098689778224,96.51723703939139,79.14461349930943,-0.055121525946544514,96.4954152451578,84.22585389633151,-0.05464447039272735,spherical,6,True,loop,64,fit,644,auto,446.51774856866723,1591.1617889678841,1254.2562555980433,0.26253796652274053,22.865484865464545,5010.949627729313,False,1736.7946482697832
space1_time1,1,1,632,94,77.16222979094206,58.64010025938109,0.2930026140893959,79.24081369669474,62.16077229290634,0.2543996164876101,91.7689881238105,80.59711372376356,-3.587782524405725e-07,spherical,6,True,loop,64,fit,632,auto,757.761922758789,4160.0982913719445,820.9728144249605,0.47998052168696453,28.653973236925765,4743.706127018364,False,1654.225104045067
space1_time3,1,3,599,50,83.8743069034631,66.99538249489393,-0.46989715956653755,75.33848530177247,59.597528951711894,-0.1859403090792464,69.53049648421714,57.41258544598677,-0.010135706363499253,spherical,6,True,loop,64,fit,599,auto,1196.8397892119663,0.7135044865643905,374.29353047290766,0.7617684471563619,21.604428484097834,5031.754530459935,False,1595.6822778049502
space2_time0,2,0,600,38,100.8477442645535,89.38807428331963,-0.04009058009624522,96.02400578559204,85.78567227612778,0.05702880908630592,98.89858084738763,90.41900369310592,-0.0002738275698250803,spherical,6,True,loop,64,fit,600,empirical_fallback,1048.2432009505312,11785.433956422017,116.47146677228125,0.9,23.960017563989112,5987.084772275329,False,1140.0215025352488
space2_time1,2,1,577,38,85.7946741641214,77.85570575873713,0.10207682850963107,85.42792728424041,76.17002959962643,0.10973713311790823,100.75351787079208,85.28067207336427,-0.23833731005749925,spherical,6,True,loop,64,fit,577,auto,355.29283294004387,8573.335951307243,1043.0616828003403,0.2540792259335807,31.77411506230559,5864.671148617994,False,1414.1054635859343
space2_time2,2,2,600,74,102.36570774016022,81.36830651657772,0.06033470488314485,93.92447123367188,75.64393082748887,0.20891760808859272,107.2799101006793,89.8189862023173,-0.0320506274707959,spherical,6,True,loop,64,fit,600,empirical_fallback,1124.944835930486,12821.584772839205,124.9938706589428,0.9,30.71028709298129,6892.239699529882,False,1044.7837132687314
space2_time3,2,3,626,76,94.29853801058464,83.03227056144806,-0.3602363873799499,86.55348004559549,76.646858628606,-0.14597076291905453,80.9846650495026,70.32774265500625,-0.0032520362327614905,spherical,6,True,loop,64,fit,626,auto,434.0618814986411,6058.547849304619,959.4942029218812,0.31147787042897207,21.377458055849395,6138.334303201181,False,1487.287611957662
space3_time0,3,0,540,71,36.66374933980809,30.96968092235871,-2.2031290674098774,28.526502092191553,24.225284360044675,-0.9390889530108979,29.14751478531612,22.804512514254046,-1.0244345981309326,spherical,6,True,loop,64,fit,540,auto,141.88667502139435,1707.998575225848,2175.7276839056512,0.06122100274140591,23.541971683081755,6206.686719833988,False,2357.3208807461797
space3_time1,3,1,524,78,34.16283788851069,28.000851769770705,-3.29935210470725,26.6449383097602,22.38883106942971,-1.6153184160462337,24.906358003498067,20.09417822568541,-1.2851545964008508,spherical,6,True,loop,64,fit,524,auto,430.37484774211566,136.2128698281844,2054.776443433837,0.17317853012420256,31.271917784315367,6032.50460483426,False,2523.9817801005775
space3_time2,3,2,525,92,29.671794171141734,25.249074821020866,-1.2677280833474946,23.184172772319208,19.479938056651914,-0.3844796357783724,24.713899518030832,18.98146050387041,-0.5732071666427045,spherical,6,True,loop,64,fit,525,empirical_fallback,1716.3467568642423,13347.877887183213,190.70519520713788,0.9,31.453067855950405,7150.062882313239,False,1564.3425902574916
space3_time3,3,3,535,78,21.419854136852702,16.07844890884741,-0.23397164819992078,18.61346796643051,14.280981521863504,0.06819131142091861,30.6054425062274,25.43845334408411,-1.5192396874972984,spherical,6,True,loop,64,fit,535,auto,437.7957322910412,8601.004361201525,2097.7839109091533,0.17266100611948929,21.481124442418793,6437.184412549172,False,2670.4132838310043
