variable,label,n_rows,n_missing,missing_rate,n_non_missing
era5_asn,era5 asn,83825280,7620480,0.09090909090909091,76204800
era5_avg_sdlwrf,era5 avg sdlwrf,83825280,7620480,0.09090909090909091,76204800
era5_avg_sdswrf,era5 avg sdswrf,83825280,7620480,0.09090909090909091,76204800
era5_avg_sdswrfcs,era5 avg sdswrfcs,83825280,7620480,0.09090909090909091,76204800
era5_avg_snlwrf,era5 avg snlwrf,83825280,7620480,0.09090909090909091,76204800
era5_avg_snlwrfcs,era5 avg snlwrfcs,83825280,7620480,0.09090909090909091,76204800
era5_avg_snswrf,era5 avg snswrf,83825280,7620480,0.09090909090909091,76204800
era5_avg_snswrfcs,era5 avg snswrfcs,83825280,7620480,0.09090909090909091,76204800
era5_cl,era5 cl,83825280,7620480,0.09090909090909091,76204800
era5_cloud_layer_sum,Cloud layer sum,83825280,7620480,0.09090909090909091,76204800
era5_cvh,era5 cvh,83825280,7620480,0.09090909090909091,76204800
era5_cvl,era5 cvl,83825280,7620480,0.09090909090909091,76204800
era5_deg0l,era5 deg0l,83825280,7620480,0.09090909090909091,76204800
era5_fal,era5 fal,83825280,7620480,0.09090909090909091,76204800
era5_hcc,High cloud cover,83825280,7620480,0.09090909090909091,76204800
era5_lai_hv,era5 lai hv,83825280,7620480,0.09090909090909091,76204800
era5_lai_lv,era5 lai lv,83825280,7620480,0.09090909090909091,76204800
era5_lcc,Low cloud cover,83825280,7620480,0.09090909090909091,76204800
era5_lict,era5 lict,83825280,7620480,0.09090909090909091,76204800
era5_lmlt,era5 lmlt,83825280,7620480,0.09090909090909091,76204800
era5_lsm,era5 lsm,83825280,7620480,0.09090909090909091,76204800
era5_mcc,Medium cloud cover,83825280,7620480,0.09090909090909091,76204800
era5_msl,Mean sea-level pressure,83825280,7620480,0.09090909090909091,76204800
era5_siconc,era5 siconc,83825280,34353360,0.4098209991067134,49471920
era5_skt,era5 skt,83825280,7620480,0.09090909090909091,76204800
era5_slt,era5 slt,83825280,7620480,0.09090909090909091,76204800
era5_sp,Surface pressure,83825280,7620480,0.09090909090909091,76204800
era5_ssr,era5 ssr,83825280,7620480,0.09090909090909091,76204800
era5_sst,era5 sst,83825280,34353360,0.4098209991067134,49471920
era5_stl1,era5 stl1,83825280,7620480,0.09090909090909091,76204800
era5_swvl1,Volumetric soil water layer 1,83825280,7620480,0.09090909090909091,76204800
era5_t2m,2 m temperature (K),83825280,7620480,0.09090909090909091,76204800
era5_t2m_c,2 m temperature (C),83825280,7620480,0.09090909090909091,76204800
era5_tco3,era5 tco3,83825280,7620480,0.09090909090909091,76204800
era5_tcw,era5 tcw,83825280,7620480,0.09090909090909091,76204800
era5_tcwv,Total column water vapour,83825280,7620480,0.09090909090909091,76204800
era5_tisr,era5 tisr,83825280,7620480,0.09090909090909091,76204800
era5_tsn,era5 tsn,83825280,7620480,0.09090909090909091,76204800
era5_tvh,era5 tvh,83825280,7620480,0.09090909090909091,76204800
era5_tvl,era5 tvl,83825280,7620480,0.09090909090909091,76204800
