feature,feature_group,mean_coefficient,median_coefficient,std_coefficient,mean_abs_coefficient,max_abs_coefficient,n_folds,nonzero_folds,nonzero_share
latitude,Space,11.865461389688535,9.328505258410793,9.431252503267618,11.865461389688535,26.41128715916573,15,13,0.8666666666666667
longitude,Space,-10.034531123128934,-10.738350816816572,6.318884431673129,10.034531123128934,18.326969063630308,15,13,0.8666666666666667
era5_tcwv,Atmospheric,-7.9346159569429835,-4.701322155562666,9.265813512682373,7.9346159569429835,27.532374090642882,15,10,0.6666666666666666
era5_tcw,Atmospheric,-6.123509863879118,-0.0,9.283685711968433,6.123509863879118,30.77730536995388,15,7,0.4666666666666667
hour,Time,-3.738207494291041,-1.5136964805087725,5.6644066917262546,4.396310560426998,16.427610058824122,15,10,0.6666666666666666
era5_msl,Atmospheric,3.8971697684715805,3.62418544057135,1.7789103096516024,3.8971697684715805,7.657033234888118,15,14,0.9333333333333333
era5_lsm,Atmospheric,-2.7494477037240896,-0.0,8.371140761484355,2.7494477037240896,31.666588994504917,15,2,0.13333333333333333
era5_sst,Atmospheric,2.6301159235545213,0.0,5.20064945054857,2.6301159235545213,18.160076986402572,15,4,0.26666666666666666
era5_lai_hv,Atmospheric,-1.559200899802741,0.0,3.1216072108670514,2.3884044426865807,6.25603943478442,15,9,0.6
era5_sp,Atmospheric,2.0107380855790806,0.9684305593247817,2.391051648021439,2.0107380855790806,6.295101014605181,15,8,0.5333333333333333
era5_lict,Atmospheric,1.7439798266369668,-0.0,2.357835497962833,1.7439798266369668,7.672070462840333,15,7,0.4666666666666667
era5_hcc,Atmospheric,-1.5600880761967904,-0.9875756378430284,2.022155738184757,1.5600880761967904,5.7869880033619685,15,9,0.6
era5_tsn,Atmospheric,1.553775269132891,0.0,2.3859664233468063,1.553775269132891,6.759171017293578,15,5,0.3333333333333333
era5_fal,Atmospheric,-1.448835734942444,-0.0,2.5034720916689284,1.448835734942444,7.224679876467074,15,6,0.4
era5_swvl1,Atmospheric,0.9061766220780364,-0.0,2.9767029818670196,1.2570205455548382,8.685513741996708,15,4,0.26666666666666666
era5_lai_lv,Atmospheric,1.1210985079431492,-0.0,2.299042818124433,1.1210985079431492,7.367453749584159,15,4,0.26666666666666666
era5_lcc,Atmospheric,0.9825421587362135,0.0,1.4095209609449582,0.9825421587362135,3.9753436280726357,15,6,0.4
era5_avg_snlwrfcs,Atmospheric,-0.9171721292541112,-0.0,1.913633694111665,0.9171721292541112,5.333728598987846,15,4,0.26666666666666666
era5_siconc,Atmospheric,-0.8614194256198878,0.0,1.3062573686961587,0.8614194256198878,4.021898108337612,15,7,0.4666666666666667
era5_cvh,Atmospheric,0.4772365233196694,-0.0,1.848329107019007,0.4772365233196694,7.158547849795041,15,1,0.06666666666666667
era5_avg_snlwrf,Atmospheric,-0.36721566575832687,-0.0,0.9548504801069538,0.36721566575832687,3.1266457901051057,15,3,0.2
era5_cvl,Atmospheric,0.3541230514278212,0.0,1.1679202494893803,0.3541230514278212,4.509260714056335,15,2,0.13333333333333333
era5_deg0l,Atmospheric,-0.3146303399467877,0.0,1.2185580668254872,0.3146303399467877,4.719455099201816,15,1,0.06666666666666667
era5_tvh,Atmospheric,0.3046815025422325,0.0,0.8091433139848421,0.3046815025422325,2.5248776989192714,15,2,0.13333333333333333
era5_tvl,Atmospheric,-0.013303753255233823,0.0,0.6949275717169251,0.2467328439839705,1.9502744792940325,15,3,0.2
era5_mcc,Atmospheric,0.12043252889222054,-0.0,0.49619049679342825,0.15612628112460147,1.8949322189169233,15,4,0.26666666666666666
era5_asn,Atmospheric,-0.12326935247276999,-0.0,0.4774201492248103,0.12326935247276999,1.8490402870915499,15,1,0.06666666666666667
era5_cl,Atmospheric,0.07132999768148698,0.0,0.1947811104658485,0.07132999768148698,0.6674110019173358,15,2,0.13333333333333333
era5_tco3,Atmospheric,-0.0405195781693924,0.0,0.11056244575075377,0.042842507267477355,0.31520409250583226,15,3,0.2
era5_t2m,Atmospheric,0.0,-0.0,0.0,0.0,0.0,15,0,0.0
era5_stl1,Atmospheric,0.0,-0.0,0.0,0.0,0.0,15,0,0.0
era5_skt,Atmospheric,0.0,-0.0,0.0,0.0,0.0,15,0,0.0
era5_avg_sdlwrf,Atmospheric,0.0,-0.0,0.0,0.0,0.0,15,0,0.0
era5_lmlt,Atmospheric,0.0,0.0,0.0,0.0,0.0,15,0,0.0
era5_slt,Atmospheric,0.0,-0.0,0.0,0.0,0.0,15,0,0.0
