hour,latitude,longitude,space_fold,time_fold
1606788000000000000,81.25,-62.25,3,0
1606788000000000000,76.75,-67.0,3,0
1606788000000000000,72.5,-70.0,3,0
1606788000000000000,68.25,-72.0,3,0
1606788000000000000,64.0,-73.75,3,0
1606788000000000000,59.75,-75.0,3,0
1606788000000000000,55.75,-76.25,3,0
1606788000000000000,51.5,-77.5,3,0
1606788000000000000,47.5,-78.5,0,0
1606788000000000000,43.5,-79.25,0,0
1606788000000000000,39.5,-80.25,0,0
1606788000000000000,35.25,-81.0,0,0
1606788000000000000,31.25,-81.75,0,0
1606788000000000000,27.25,-82.75,0,0
1606788000000000000,23.0,-83.5,0,0
1606788000000000000,19.0,-84.25,0,0
1606788000000000000,15.0,-85.25,0,0
1606788000000000000,10.75,-86.0,0,0
1606788000000000000,6.75,-87.0,0,0
1606788000000000000,2.75,-88.0,0,0
1606788000000000000,-1.5,-88.75,0,0
1606788000000000000,-5.75,-90.0,0,0
1606788000000000000,-10.0,-91.0,0,0
1606791600000000000,-14.25,-92.5,0,0
1606798800000000000,78.0,-114.5,3,0
1606798800000000000,73.5,-117.75,3,0
1606798800000000000,69.25,-120.0,3,0
1606798800000000000,62.75,-124.25,3,0
1606798800000000000,59.0,-125.25,3,0
1606798800000000000,55.5,-126.0,3,0
1606798800000000000,52.0,-126.5,3,0
1606798800000000000,48.25,-126.75,1,0
1606798800000000000,44.5,-127.5,1,0
1606798800000000000,40.5,-128.25,1,0
1606802400000000000,36.25,-129.25,1,0
1606802400000000000,32.25,-130.0,1,0
1606802400000000000,28.25,-130.75,1,0
1606802400000000000,24.0,-131.5,1,0
1606802400000000000,20.0,-132.5,1,0
1606802400000000000,16.0,-133.25,1,0
1606802400000000000,12.0,-134.25,1,0
1606802400000000000,7.75,-135.0,1,0
1606802400000000000,3.75,-136.0,1,0
1606802400000000000,-0.5,-137.0,1,0
1606802400000000000,-4.75,-138.0,1,0
1606802400000000000,-9.0,-139.0,1,0
1606802400000000000,-13.25,-140.25,1,0
1606802400000000000,-17.75,-141.75,1,0
1606806000000000000,80.5,-135.5,3,0
1606806000000000000,76.25,-139.75,3,0
1606806000000000000,72.0,-142.75,3,0
1606806000000000000,67.75,-144.75,3,0
1606806000000000000,63.5,-146.5,3,0
1606806000000000000,59.25,-147.75,3,0
1606806000000000000,55.0,-149.0,1,0
1606806000000000000,51.0,-149.75,1,0
1606806000000000000,47.0,-151.0,1,0
1606806000000000000,43.0,-152.0,1,0
1606806000000000000,38.75,-152.75,1,0
1606806000000000000,34.75,-153.5,1,0
1606806000000000000,30.75,-154.5,1,0
1606806000000000000,26.75,-155.25,1,0
1606806000000000000,22.75,-156.0,1,0
1606806000000000000,18.75,-157.0,1,0
1606806000000000000,15.0,-158.0,1,0
1606806000000000000,10.75,-159.0,1,0
1606806000000000000,6.5,-159.75,1,0
1606806000000000000,2.25,-160.75,1,0
1606806000000000000,-2.25,-162.0,1,0
1606806000000000000,-6.5,-163.0,1,0
1606806000000000000,-10.75,-164.25,1,0
1606806000000000000,-15.5,-165.5,1,0
1606813200000000000,79.0,-161.75,3,0
1606813200000000000,74.75,-165.5,3,0
1606813200000000000,67.75,-170.75,3,0
1606813200000000000,64.25,-172.0,3,0
1606813200000000000,60.5,-173.25,3,0
1606813200000000000,57.0,-173.75,1,0
1606813200000000000,53.25,-174.0,1,0
1606813200000000000,49.5,-174.5,1,0
1606813200000000000,45.5,-175.5,1,0
1606813200000000000,41.5,-176.5,1,0
1606813200000000000,37.5,-177.5,1,0
1606813200000000000,33.5,-178.25,1,0
1606813200000000000,29.25,-178.75,1,0
1606813200000000000,25.25,-179.75,1,0
1606813200000000000,21.0,179.5,1,0
1606813200000000000,17.0,178.5,1,0
1606813200000000000,13.0,177.75,1,0
1606813200000000000,8.75,177.0,1,0
1606813200000000000,4.75,176.0,1,0
1606813200000000000,0.5,175.0,1,0
1606813200000000000,-3.75,173.75,1,0
1606813200000000000,-7.75,172.75,1,0
1606813200000000000,-12.25,171.75,1,0
1606813200000000000,-16.75,170.25,1,0
1606816800000000000,77.25,172.5,3,0
1606816800000000000,73.0,169.5,3,0
1606816800000000000,68.75,167.25,3,0
1606816800000000000,64.5,165.75,3,0
1606816800000000000,60.25,164.25,3,0
1606816800000000000,56.25,163.0,1,0
1606816800000000000,52.0,162.0,1,0
1606816800000000000,48.0,161.0,1,0
1606816800000000000,44.0,160.0,1,0
1606816800000000000,40.0,159.0,1,0
1606816800000000000,35.75,158.25,1,0
1606816800000000000,31.75,157.5,1,0
1606816800000000000,27.75,156.5,1,0
1606816800000000000,23.75,155.75,1,0
1606816800000000000,19.5,155.0,1,0
1606816800000000000,15.5,154.0,1,0
1606816800000000000,11.5,153.25,1,0
1606816800000000000,7.25,152.5,1,0
