fold_id,space_fold,time_fold,n_train,n_test,rmse,mae,r2,baseline_rmse,baseline_mae,baseline_r2
space0_time0,0,0,580,47,67.24872322031065,54.98288895915799,-0.5383917173464845,63.57284379240721,56.21091356165518,-0.37480823427423093
space0_time1,0,1,562,52,73.11147613542008,61.00937883673126,-0.1685606891236897,80.3112295109426,72.80702657769585,-0.4100441686043912
space0_time2,0,2,606,109,104.30103712195292,87.61639426383226,-0.29316770810428006,98.40174695041709,87.18304297251926,-0.15102091386681238
space0_time3,0,3,568,47,93.38343089831503,76.2142126584972,-0.08052547721713599,89.85820966309493,80.29298906695408,-0.00048569309100576774
space1_time0,1,0,644,83,96.5172370393914,79.14461349930943,-0.055121525946544514,96.4954152451578,84.22585389633151,-0.05464447039272735
space1_time1,1,1,632,94,79.24081369669474,62.16077229290632,0.2543996164876101,91.7689881238105,80.59711372376356,-3.587782524405725e-07
space1_time3,1,3,599,50,75.33848530177247,59.597528951711894,-0.1859403090792464,69.53049648421714,57.41258544598677,-0.010135706363499253
space2_time0,2,0,600,38,96.02400578559205,85.7856722761278,0.05702880908630581,98.89858084738763,90.41900369310592,-0.0002738275698250803
space2_time1,2,1,577,38,85.42792728424041,76.17002959962643,0.10973713311790823,100.75351787079208,85.28067207336427,-0.23833731005749925
space2_time2,2,2,600,74,93.92447123367188,75.64393082748886,0.20891760808859272,107.2799101006793,89.8189862023173,-0.0320506274707959
space2_time3,2,3,626,76,86.55348004559549,76.64685862860598,-0.14597076291905453,80.9846650495026,70.32774265500625,-0.0032520362327614905
space3_time0,3,0,540,71,28.52650209219156,24.225284360044675,-0.9390889530108988,29.14751478531612,22.804512514254046,-1.0244345981309326
space3_time1,3,1,524,78,26.64493830976021,22.388831069429724,-1.615318416046236,24.906358003498067,20.09417822568541,-1.2851545964008508
space3_time2,3,2,525,92,23.184172772319204,19.479938056651914,-0.38447963577837196,24.713899518030832,18.98146050387041,-0.5732071666427045
space3_time3,3,3,535,78,18.61346796643051,14.280981521863506,0.0681913114209185,30.6054425062274,25.43845334408411,-1.5192396874972984
