fold_id,space_fold,time_fold,n_train,n_test,feature,impurity_importance,feature_group
space0_time0,0,0,506,33,era5_swvl1,0.049725050098726506,Atmospheric
space0_time0,0,0,506,33,era5_stl1,0.04292277589874284,Atmospheric
space0_time0,0,0,506,33,era5_cl,0.0022613923149637366,Atmospheric
space0_time0,0,0,506,33,era5_cvl,0.0036724668078680764,Atmospheric
space0_time0,0,0,506,33,era5_cvh,0.001986212795134243,Atmospheric
space0_time0,0,0,506,33,era5_siconc,0.00019324890218975238,Atmospheric
space0_time0,0,0,506,33,era5_asn,0.0010735362638226134,Atmospheric
space0_time0,0,0,506,33,era5_sst,0.021441317306904597,Atmospheric
space0_time0,0,0,506,33,era5_lai_lv,0.004964011858457783,Atmospheric
space0_time0,0,0,506,33,era5_lai_hv,0.005944591953798599,Atmospheric
space0_time0,0,0,506,33,era5_sp,0.03647375179980305,Atmospheric
space0_time0,0,0,506,33,era5_tcw,0.04194400579303803,Atmospheric
space0_time0,0,0,506,33,era5_tcwv,0.038293687871415155,Atmospheric
space0_time0,0,0,506,33,era5_msl,0.02345894155358203,Atmospheric
space0_time0,0,0,506,33,era5_t2m,0.04024114702002098,Atmospheric
space0_time0,0,0,506,33,era5_lsm,0.010287564722607126,Atmospheric
space0_time0,0,0,506,33,era5_lcc,0.015270638783238605,Atmospheric
space0_time0,0,0,506,33,era5_mcc,0.01182266551626367,Atmospheric
space0_time0,0,0,506,33,era5_hcc,0.012455968401840895,Atmospheric
space0_time0,0,0,506,33,era5_tco3,0.03503257212570247,Atmospheric
space0_time0,0,0,506,33,era5_skt,0.038164078967276194,Atmospheric
space0_time0,0,0,506,33,era5_tsn,0.032033640124257565,Atmospheric
space0_time0,0,0,506,33,era5_fal,0.02007562182641305,Atmospheric
space0_time0,0,0,506,33,era5_lmlt,0.044172650033125385,Atmospheric
space0_time0,0,0,506,33,era5_lict,0.0633384034857498,Atmospheric
space0_time0,0,0,506,33,era5_deg0l,0.05433914728902938,Atmospheric
space0_time0,0,0,506,33,era5_avg_sdlwrf,0.037609992713273394,Atmospheric
space0_time0,0,0,506,33,era5_avg_snlwrf,0.021603566998742493,Atmospheric
space0_time0,0,0,506,33,era5_avg_snlwrfcs,0.026205108867735284,Atmospheric
space0_time0,0,0,506,33,local_time,0.042619222824141385,Time
space0_time0,0,0,506,33,hour,0.026400395097933144,Time
space0_time0,0,0,506,33,latitude,0.1157387514155794,Space
space0_time0,0,0,506,33,longitude,0.0674007468156515,Space
space0_time0,0,0,506,33,era5_tvl_0.0,0.0004889270516576634,Atmospheric
space0_time0,0,0,506,33,era5_tvl_1.0,0.0005186839926530167,Atmospheric
space0_time0,0,0,506,33,era5_tvl_2.0,0.0002987630361290853,Atmospheric
space0_time0,0,0,506,33,era5_tvl_7.0,0.0022643579753612725,Atmospheric
space0_time0,0,0,506,33,era5_tvl_9.0,5.8593826979913395e-05,Atmospheric
space0_time0,0,0,506,33,era5_tvl_10.0,5.132909913467995e-05,Atmospheric
space0_time0,0,0,506,33,era5_tvl_11.0,6.421342304944238e-05,Atmospheric
space0_time0,0,0,506,33,era5_tvl_13.0,2.521358041987531e-06,Atmospheric
space0_time0,0,0,506,33,era5_tvl_16.0,0.0006916368647053227,Atmospheric
space0_time0,0,0,506,33,era5_tvl_17.0,0.0,Atmospheric
space0_time0,0,0,506,33,era5_tvh_0.0,0.0006289549985525394,Atmospheric
space0_time0,0,0,506,33,era5_tvh_3.0,6.465179696134392e-06,Atmospheric
space0_time0,0,0,506,33,era5_tvh_4.0,2.1750643888512035e-06,Atmospheric
space0_time0,0,0,506,33,era5_tvh_5.0,3.6852907584981695e-05,Atmospheric
space0_time0,0,0,506,33,era5_tvh_6.0,8.447881958519516e-05,Atmospheric
space0_time0,0,0,506,33,era5_tvh_18.0,0.00017675724446714506,Atmospheric
space0_time0,0,0,506,33,era5_tvh_19.0,0.00030523394042145883,Atmospheric
space0_time0,0,0,506,33,era5_slt_0.0,0.0008214189034275868,Atmospheric
space0_time0,0,0,506,33,era5_slt_1.0,5.908901057094489e-05,Atmospheric
space0_time0,0,0,506,33,era5_slt_2.0,0.0008608812121697946,Atmospheric
space0_time0,0,0,506,33,era5_slt_3.0,0.0016337235323441324,Atmospheric
space0_time0,0,0,506,33,era5_slt_4.0,0.0017780683120500718,Atmospheric
space0_time0,0,0,506,33,era5_slt_5.0,0.0,Atmospheric
space0_time0,0,0,506,33,era5_slt_6.0,0.0,Atmospheric
space0_time1,0,1,519,69,era5_swvl1,0.030566256068839684,Atmospheric
space0_time1,0,1,519,69,era5_stl1,0.039750187915930796,Atmospheric
space0_time1,0,1,519,69,era5_cl,0.002542030891551357,Atmospheric
space0_time1,0,1,519,69,era5_cvl,0.00605397223953811,Atmospheric
space0_time1,0,1,519,69,era5_cvh,0.007407905277787305,Atmospheric
space0_time1,0,1,519,69,era5_siconc,0.00022405578525668863,Atmospheric
space0_time1,0,1,519,69,era5_asn,0.0006239626345911853,Atmospheric
space0_time1,0,1,519,69,era5_sst,0.01964966208408476,Atmospheric
space0_time1,0,1,519,69,era5_lai_lv,0.008046275980703024,Atmospheric
space0_time1,0,1,519,69,era5_lai_hv,0.009527774557447822,Atmospheric
space0_time1,0,1,519,69,era5_sp,0.05371598944928137,Atmospheric
space0_time1,0,1,519,69,era5_tcw,0.037555078730084256,Atmospheric
space0_time1,0,1,519,69,era5_tcwv,0.033797509922819956,Atmospheric
space0_time1,0,1,519,69,era5_msl,0.024688236526293903,Atmospheric
space0_time1,0,1,519,69,era5_t2m,0.04708537148367022,Atmospheric
space0_time1,0,1,519,69,era5_lsm,0.01004297936084713,Atmospheric
space0_time1,0,1,519,69,era5_lcc,0.01726971455369436,Atmospheric
space0_time1,0,1,519,69,era5_mcc,0.018281914627137182,Atmospheric
space0_time1,0,1,519,69,era5_hcc,0.02011282163520893,Atmospheric
space0_time1,0,1,519,69,era5_tco3,0.03342087945077594,Atmospheric
space0_time1,0,1,519,69,era5_skt,0.03792592317960763,Atmospheric
space0_time1,0,1,519,69,era5_tsn,0.03790831541289995,Atmospheric
space0_time1,0,1,519,69,era5_fal,0.024377315892736423,Atmospheric
space0_time1,0,1,519,69,era5_lmlt,0.04837702511182379,Atmospheric
space0_time1,0,1,519,69,era5_lict,0.03796108252085616,Atmospheric
space0_time1,0,1,519,69,era5_deg0l,0.05148195570412044,Atmospheric
